DiseaseID	GeneID  AssociatedGenes	RelatedGenes	ConceptID	DiseaseName	SourceName	DiseaseMIM	LastUpdated
MONDO:0010472	ALG13		C3550904	Developmental and epileptic encephalopathy, 36	MONDO	300884.0	Apr 19 2022
MONDO:0010473	CLIC2		C3550913	X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome	MONDO	300886.0	Mar 29 2022
MONDO:0010474	COX7B		C3550921	Linear skin defects with multiple congenital anomalies 2	MONDO	300887.0	Aug 24 2016
MONDO:0010475	IGSF1		C3550963	X-linked central congenital hypothyroidism with late-onset testicular enlargement	MONDO	300888.0	Apr 19 2022
MONDO:0010476	WDR45		C3550973	Neurodegeneration with brain iron accumulation 5	MONDO	300894.0	Feb 23 2022
MONDO:0010477	MED12		C3698541	Blepharophimosis - intellectual disability syndrome, MKB type	MONDO	300895.0	Apr 19 2022
MONDO:0010478	SLC35A2		C3806688	SLC35A2-CDG	MONDO	300896.0	Apr 17 2020
MONDO:0010479	PDK3		C3806702	Charcot-Marie-Tooth disease X-linked dominant 6	MONDO	300905.0	Apr 19 2022
MONDO:0010480	CASK		C2720289	Anemia, nonspherocytic hemolytic, due to G6PD deficiency	MONDO	300908.0	Feb 16 2016
MONDO:0010482	ATP6AP2		C3806722	X-linked parkinsonism-spasticity syndrome	MONDO	300911.0	Apr 19 2022
MONDO:0010483	NEXMIF		C3806730	X-linked intellectual disability, Cantagrel type	MONDO	300912.0	Mar 29 2022
MONDO:0010484	COL4A6		C3806737	Hearing loss, X-linked 6	MONDO	300914.0	Apr 19 2022
MONDO:0010485	HMGB3		C3806742	X-linked colobomatous microphthalmia-microcephaly-intellectual disability-short stature syndrome	MONDO	300915.0	Apr 19 2022
MONDO:0010486	MBTPS2		C3806745	Olmsted syndrome, X-linked	MONDO	300918.0	Apr 19 2022
MONDO:0010487	USP9X		C3806746	Intellectual disability, X-linked 99	MONDO	300919.0	Mar 29 2022
MONDO:0010488	KIF4A		C3890167	Intellectual disability, X-linked 100	MONDO	300923.0	Mar 29 2022
MONDO:0010489	MID2		C3890168	Intellectual disability, X-linked 101	MONDO	300928.0	Mar 29 2022
MONDO:0010490	SSR4		C4012395	SSR4-CDG	MONDO	300934.0	Apr 19 2022
MONDO:0010491	GPR101		C3891556	X-linked acrogigantism due to Xq26 microduplication	MONDO	300942.0	Apr 19 2022
MONDO:0010492	GPR101		C4012409	Pituitary adenoma, growth hormone-secreting, 2	MONDO	300943.0	Feb 16 2016
MONDO:0010493	TSR2		C4225422	Diamond-Blackfan anemia 14 with mandibulofacial dysostosis	MONDO	300946.0	Feb 16 2016
MONDO:0010494	NDUFB11		C4225421	Linear skin defects with multiple congenital anomalies 3	MONDO	300952.0	Feb 16 2016
MONDO:0010495	RNF113A		C4225420	Trichothiodystrophy 5, nonphotosensitive	MONDO	300953.0	Feb 16 2016
MONDO:0010496	THOC2		C0796218	X-linked intellectual disability-short stature-overweight syndrome	MONDO	300957.0	Mar 29 2022
MONDO:0010497	DDX3X		C5393299	Intellectual disability, X-linked 102	MONDO	300958.0	Mar 29 2022
MONDO:0010498	EBP		C4085243	MEND syndrome	MONDO	300960.0	Feb 16 2016
MONDO:0010499	CCDC22		C4225419	Ritscher-Schinzel syndrome 2	MONDO	300963.0	Apr 19 2022
MONDO:0010500	TAF1		C4225418	Intellectual disability, X-linked, syndromic 33	MONDO	300966.0	Mar 29 2022
MONDO:0010501	NONO		C4225417	Syndromic X-linked intellectual disability 34	MONDO	300967.0	Mar 29 2022
MONDO:0010502	USP9X		C4225416	Intellectual disability, X-linked 99, syndromic, female-restricted	MONDO	300968.0	Mar 29 2022
MONDO:0010503	MAGED2		C4310820	Bartter disease type 5	MONDO	300971.0	Apr 19 2022
MONDO:0010504	ATP6AP1		C4310819	Immunodeficiency 47	MONDO	300972.0	Jul  3 2016
MONDO:0010506	RLIM		C4283894	Intellectual disability, X-linked 61	MONDO	300978.0	Mar 29 2022
MONDO:0010508	KLHL15		C4310818	Intellectual disability, X-linked 103	MONDO	300982.0	Mar 29 2022
MONDO:0010509	FRMPD4		C4310817	Intellectual disability, X-linked 104	MONDO	300983.0	Mar 29 2022
MONDO:0010510	USP27X		C4310816	Intellectual disability, X-linked 105	MONDO	300984.0	Mar 29 2022
MONDO:0010511	ADGRG2		C4310815	Vas deferens, congenital bilateral aplasia of, X-linked	MONDO	300985.0	Jun 20 2017
MONDO:0010512	HNRNPH2		C4310814	Intellectual disability, X-linked, syndromic, bain type	MONDO	300986.0	Mar 29 2022
MONDO:0010514	MSN		C4310812	Combined immunodeficiency due to moesin deficiency	MONDO	300988.0	Apr 19 2022
MONDO:0010515	BGN		C4310811	Meester-Loeys syndrome	MONDO	300989.0	Apr 19 2022
MONDO:0010516	AMMECR1		C4310810	Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	MONDO	300990.0	Jun 20 2017
MONDO:0010517	DNAAF6		C4478372	Ciliary dyskinesia, primary, 36, X-linked	MONDO	300991.0	Jun 20 2017
MONDO:0010518	WAS		C0043194	Wiskott-Aldrich syndrome	MONDO	301000.0	Feb 16 2016
MONDO:0010519	ATRX		C1845055	Alpha thalassemia-X-linked intellectual disability syndrome	MONDO	301040.0	Apr 22 2020
MONDO:0010520	COL4A5		C4746986	X-linked Alport syndrome	MONDO	301050.0	Apr 19 2022
MONDO:0010521	AMELX		C1845053	Amelogenesis imperfecta type 1E	MONDO	301200.0	Apr 19 2022
MONDO:0010523	POLA1		C1845050	X-linked reticulate pigmentary disorder	MONDO	301220.0	Apr 19 2022
MONDO:0010524	ABCB7		C1845028	X-linked sideroblastic anemia with ataxia	MONDO	301310.0	Apr 17 2020
MONDO:0010526	GLA		C0002986	Fabry disease	MONDO	301500.0	Apr 18 2022
MONDO:0010532	UBA1		C1844934	Infantile-onset X-linked spinal muscular atrophy	MONDO	301830.0	Apr 19 2022
MONDO:0010533	PRPS1		C0796028	Arts syndrome	MONDO	301835.0	Feb 16 2016
MONDO:0010537	PHF6		C0265339	Borjeson-Forssman-Lehmann syndrome	MONDO	301900.0	Feb 16 2016
MONDO:0010542	DMD		C3668940	Dilated cardiomyopathy 3B	MONDO	302045.0	Feb 16 2016
MONDO:0010544	NHS		C4049004	Cataract 40	MONDO	302200.0	Feb 16 2016
MONDO:0010545	NHS		C0796085	Nance-Horan syndrome	MONDO	302350.0	Feb 16 2016
MONDO:0010547	ATP2B3		C0796205	X-linked progressive cerebellar ataxia	MONDO	302500.0	Apr 19 2022
MONDO:0010549	GJB1		C0393808	Charcot-Marie-Tooth disease X-linked dominant 1	MONDO	302800.0	Apr 19 2022
MONDO:0010554	TBX22		C1844862	Abruzzo-Erickson syndrome	MONDO	302905.0	Apr 22 2020
MONDO:0010555	ARSL		C3669395	X-linked chondrodysplasia punctata 1	MONDO	302950.0	Apr 22 2020
MONDO:0010557	CHM		C0008525	Choroideremia	MONDO	303100.0	Feb 16 2016
MONDO:0010559	L1CAM		C0795953	MASA syndrome	MONDO	303350.0	Apr 22 2020
MONDO:0010560	TBX22		C1844830	Cleft palate with or without ankyloglossia, X-linked	MONDO	303400.0	Jan 22 2021
MONDO:0010561	RPS6KA3		C0265252	Coffin-Lowry syndrome	MONDO	303600.0	Feb 16 2016
MONDO:0010566	RPGR		C1844776	X-linked cone-rod dystrophy 1	MONDO	304020.0	Apr 19 2022
MONDO:0010569	L1CAM		C1839909	X-linked complicated corpus callosum dysgenesis	MONDO	304100.0	Apr 19 2022
MONDO:0010570	EFNB1		C0220767	Craniofrontonasal syndrome	MONDO	304110.0	Apr 22 2020
MONDO:0010576	GJB2		C1844678	X-linked mixed hearing loss with perilymphatic gusher	MONDO	304400.0	Apr 19 2022
MONDO:0010577	PRPS1		C1844677	Hearing loss, X-linked 1	MONDO	304500.0	Apr 19 2022
MONDO:0010578	TIMM8A		C0796074	Deafness dystonia syndrome	MONDO	304700.0	Apr 17 2020
MONDO:0010581	AVPR2		C1563705	Diabetes insipidus, nephrogenic, X-linked	MONDO	304800.0	Apr 19 2022
MONDO:0010584	DKC1		C1148551	Dyskeratosis congenita, X-linked	MONDO	305000.0	Apr 22 2020
MONDO:0010588	NDP		C1844579	Exudative vitreoretinopathy 2, X-linked	MONDO	305390.0	Apr 19 2022
MONDO:0010590	MED12		C0220769	FG syndrome 1	MONDO	305450.0	Mar 16 2020
MONDO:0010592	PORCN		C0016395	Focal dermal hypoplasia	MONDO	305600.0	Feb 16 2016
MONDO:0010598	PHKA2		C3694531	Glycogen storage disease IXa1	MONDO	306000.0	Apr 19 2022
MONDO:0010600	CYBB		C1844376	Granulomatous disease, chronic, X-linked	MONDO	306400.0	Apr 19 2022
MONDO:0010607	ZIC3		C1844020	Heterotaxy, visceral, 1, X-linked	MONDO	306955.0	Apr 22 2020
MONDO:0010626	CD40LG		C0398689	Hyper-IgM syndrome type 1	MONDO	308230.0	Jan 22 2021
MONDO:0010627		SH2D1A	C0549463	X-linked lymphoproliferative syndrome	MONDO		19 Apr 2022
MONDO:0010632	ARX		C3463992	Developmental and epileptic encephalopathy, 1	MONDO	308350.0	Apr 19 2022
MONDO:0010635	ANOS1		C1563719	Hypogonadotropic hypogonadism 1 with or without anosmia	MONDO	308700.0	Apr 19 2022
MONDO:0010637	MBTPS2		C3887525	Keratosis follicularis spinulosa decalvans, X-linked	MONDO	308800.0	Mar  5 2020
MONDO:0010640	PRICKLE3		C1839891	Leber optic atrophy, susceptibility to	MONDO	308905.0	Feb 16 2016
MONDO:0010644	CLCN5		C1839874	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	MONDO	308990.0	Feb 16 2016
MONDO:0010647	TEX11		C1839841	Spermatogenic failure, X-linked, 2	MONDO	309120.0	Feb 16 2016
MONDO:0010649	CHRDL1		C4518341	Isolated congenital megalocornea	MONDO	309300.0	May 19 2021
MONDO:0010650	FLNA		C0025237	Melnick-Needles syndrome	MONDO	309350.0	Feb 16 2016
MONDO:0010653	PQBP1		C0796135	Renpenning syndrome	MONDO	309500.0	Apr 19 2022
MONDO:0010654	ARX		C0796250	Partington syndrome	MONDO	309510.0	Apr 17 2020
MONDO:0010655	MED12		C0796022	X-linked intellectual disability with marfanoid habitus	MONDO	309520.0	Mar 29 2022
MONDO:0010656	IQSEC2		C2931498	Intellectual disability, X-linked 1	MONDO	309530.0	Mar 28 2022
MONDO:0010657	HCFC1		C0796208	Methylmalonic acidemia with homocystinuria, type cblX	MONDO	309541.0	Jan 21 2022
MONDO:0010660	FTSJ1		C0796215	Intellectual disability, X-linked 9	MONDO	309549.0	Mar 29 2022
MONDO:0010663	ATRX		C4759781	X-linked intellectual disability-hypotonic face syndrome	MONDO	309580.0	Jan 15 2021
MONDO:0010664	SMS		C0796160	Syndromic X-linked intellectual disability Snyder type	MONDO	309583.0	Apr 17 2020
MONDO:0010669	FGF16		C1839728	Syndactyly type 8	MONDO	309630.0	Apr 19 2022
MONDO:0010671	BCOR		C0796016	Microphthalmia, syndromic 1	MONDO	309800.0	Dec 28 2021
MONDO:0010679	DMD		C0013264	Duchenne muscular dystrophy	MONDO	310200.0	Feb 16 2016
MONDO:0010680	EMD		C5243475	X-linked Emery-Dreifuss muscular dystrophy	MONDO	310300.0	Apr 19 2022
MONDO:0010684	VMA21		C1839615	X-linked myopathy with excessive autophagy	MONDO	310440.0	Apr 22 2020
MONDO:0010689	AIFM1		C0795910	Charcot-Marie-Tooth disease X-linked recessive 4	MONDO	310490.0	Apr 19 2022
MONDO:0010690	NYX		C3495587	Congenital stationary night blindness 1A	MONDO	310500.0	Apr 19 2022
MONDO:0010693	FRMD7		C1839580	Nystagmus 1, congenital, X-linked	MONDO	310700.0	Apr 19 2022
MONDO:0010699	PRPS1		C1839566	Charcot-Marie-Tooth disease X-linked recessive 5	MONDO	311070.0	Apr 19 2022
MONDO:0010702	OFD1		C1510460	Orofaciodigital syndrome I	MONDO	311200.0	Dec 26 2019
MONDO:0010703	OTC		C0268542	Ornithine carbamoyltransferase deficiency	MONDO	311250.0	Feb 16 2016
MONDO:0010706	FMR1		C4552079	Premature ovarian failure 1	MONDO	311360.0	Feb  2 2022
MONDO:0010709	RAB39B		C0796195	Early-onset parkinsonism-intellectual disability syndrome	MONDO	311510.0	Apr 17 2020
MONDO:0010711	RBM10		C1839463	TARP syndrome	MONDO	311900.0	Jul 19 2020
MONDO:0010712	SOX3		C0342376	Panhypopituitarism, X-linked	MONDO	312000.0	Apr 22 2020
MONDO:0010713	CFP		C1839454	Properdin deficiency, X-linked	MONDO	312060.0	Feb 16 2016
MONDO:0010714	PLP1		C0205711	Pelizaeus-Merzbacher disease	MONDO	312080.0	Apr 19 2022
MONDO:0010717	PDHA1		C1839413	Pyruvate dehydrogenase E1-alpha deficiency	MONDO	312170.0	Feb 16 2016
MONDO:0010720	AR		C0268301	Partial androgen insensitivity syndrome	MONDO	312300.0	Aug 13 2017
MONDO:0010723	RP2		C2681923	Retinitis pigmentosa 2	MONDO	312600.0	Feb 16 2016
MONDO:0010726	MECP2		C0035372	Rett syndrome	MONDO	312750.0	Feb 16 2016
MONDO:0010730	IL2RG		CN030319	Combined immunodeficiency, X-linked	MONDO	312863.0	Feb 16 2016
MONDO:0010731		GPC3	C4317043	Simpson-Golabi-Behmel syndrome	MONDO		20 Nov 2020
MONDO:0010733	PLP1		C1839264	Hereditary spastic paraplegia 2	MONDO	312920.0	Apr 17 2020
MONDO:0010735	AR		C1839259	Kennedy disease	MONDO	313200.0	Jan 15 2021
MONDO:0010737	TRAPPC2		C3541456	Spondyloepiphyseal dysplasia tarda, X-linked	MONDO	313400.0	Dec 28 2021
MONDO:0010741	EDA		C1970757	Tooth agenesis, selective, X-linked, 1	MONDO	313500.0	Feb 16 2016
MONDO:0010743	WAS		C1839163	Thrombocytopenia 1	MONDO	313900.0	Apr  8 2021
MONDO:0010745	GATA1		C1839161	Beta-thalassemia-X-linked thrombocytopenia syndrome	MONDO	314050.0	Apr 19 2022
MONDO:0010747	TAF1		C1839130	X-linked dystonia-parkinsonism	MONDO	314250.0	Apr 22 2020
MONDO:0010752	FANCB		C2931228	VACTERL association, X-linked, with or without hydrocephalus	MONDO	314390.0	Jan 22 2021
MONDO:0010753	FLNA		C0262436	Cardiac valvular dysplasia, X-linked	MONDO	314400.0	Feb 17 2020
MONDO:0010758	ZC4H2		C0796200	Wieacker-Wolff syndrome	MONDO	314580.0	Sep  2 2021
MONDO:0010766		SRY	C2936419	46,XX testicular disorder of sex development	MONDO		16 Feb 2016
MONDO:0010767	BPY2		C1839071	Spermatogenic failure, Y-linked, 2	MONDO	415000.0	Apr 19 2022
MONDO:0010779	MT-CO1		C3151897	Mitochondrial non-syndromic sensorineural hearing loss	MONDO	500008.0	Apr 19 2022
MONDO:0010790	MT-TF		C0162672	MERRF syndrome	MONDO	545000.0	Apr 22 2020
MONDO:0010792	MT-TT		C1838876	Lethal infantile mitochondrial myopathy	MONDO	551000.0	Apr  4 2018
MONDO:0010794	MT-ATP6		C1328349	NARP syndrome	MONDO	551500.0	Apr 22 2020
MONDO:0010796	MT-TT		C1838867	Parkinson disease, mitochondrial	MONDO	556500.0	Feb 16 2016
MONDO:0010802	GATA6		C4012454	Pancreatic hypoplasia-diabetes-congenital heart disease syndrome	MONDO	600001.0	Apr 19 2022
MONDO:0010803	PTH1R		C1838779	Eiken syndrome	MONDO	600002.0	Jul  9 2021
MONDO:0010806	PRPF8		C1838702	Retinitis pigmentosa 13	MONDO	600059.0	Feb 16 2016
MONDO:0010807	MYO7A		C1838701	Autosomal recessive nonsyndromic hearing loss 2	MONDO	600060.0	Apr 19 2022
MONDO:0010808	PRNP		C0206042	Fatal familial insomnia	MONDO	600072.0	Feb 16 2016
MONDO:0010810	CYP2R1		C1838657	Vitamin D hydroxylation-deficient rickets, type 1B	MONDO	600081.0	Apr 19 2022
MONDO:0010814	HHAT		C1838654	Chondrodysplasia-pseudohermaphroditism syndrome	MONDO	600092.0	Apr 17 2020
MONDO:0010817	KCNQ4		C2677637	Autosomal dominant nonsyndromic hearing loss 2A	MONDO	600101.0	Jan  1 2022
MONDO:0010818	CRB1		C1838647	Retinitis pigmentosa 12	MONDO	600105.0	Feb 16 2016
MONDO:0010819	ELOVL4		C1838644	Stargardt disease 3	MONDO	600110.0	Apr 19 2022
MONDO:0010820	PRKN		C1868675	Autosomal recessive juvenile Parkinson disease 2	MONDO	600116.0	Apr 19 2022
MONDO:0010822	RAB3GAP1		C1838625	Warburg micro syndrome 1	MONDO	600118.0	Feb 16 2016
MONDO:0010823	AGPS		C1838612	Rhizomelic chondrodysplasia punctata type 3	MONDO	600121.0	Feb 16 2016
MONDO:0010827	TULP1		C1838603	Retinitis pigmentosa 14	MONDO	600132.0	Feb 16 2016
MONDO:0010828	PRPF31		C1838601	Retinitis pigmentosa 11	MONDO	600138.0	Feb 16 2016
MONDO:0010829	HTRA1		C1838577	CARASIL syndrome	MONDO	600142.0	Apr  6 2021
MONDO:0010830	CLN8		C1838570	Neuronal ceroid lipofuscinosis 8	MONDO	600143.0	Apr 22 2020
MONDO:0010832	ARL6		C1859564	Bardet-Biedl syndrome 3	MONDO	600151.0	Feb 16 2016
MONDO:0010833	EDNRB		C1838564	Hirschsprung disease, susceptibility to, 2	MONDO	600155.0	Apr 19 2022
MONDO:0010839	TRPV4		C1838492	Autosomal dominant congenital benign spinal muscular atrophy	MONDO	600175.0	Apr 19 2022
MONDO:0010842	TEK		C1838437	Multiple cutaneous and mucosal venous malformations	MONDO	600195.0	Jan 22 2021
MONDO:0010844	COL9A2		C1838429	Epiphyseal dysplasia, multiple, 2	MONDO	600204.0	Apr 22 2020
MONDO:0010848	SPTBN2		C0752123	Spinocerebellar ataxia type 5	MONDO	600224.0	Apr 22 2020
MONDO:0010849	AQP5		C1838359	Palmoplantar keratoderma, Bothnian type	MONDO	600231.0	Apr 17 2020
MONDO:0010853	IFNGR1		C1838332	Helicobacter pylori infection, susceptibility to	MONDO	600263.0	Feb 16 2016
MONDO:0010854	KRAS		C1838329	Toriello-Lacassie-Droste syndrome	MONDO	600268.0	Apr 22 2020
MONDO:0010859	GJA1		C3275750	Atrioventricular septal defect 3	MONDO	600309.0	Dec 22 2019
MONDO:0010860	MYO15A		C1838263	Autosomal recessive nonsyndromic hearing loss 3	MONDO	600316.0	Apr 19 2022
MONDO:0010863	SUMO4		C1838260	Type 1 diabetes mellitus 5	MONDO	600320.0	Apr 19 2022
MONDO:0010870	TTN		C1838244	Tibial muscular dystrophy	MONDO	600334.0	Apr 17 2020
MONDO:0010873	EML1		C4284594	Band heterotopia of brain	MONDO	600348.0	Apr 19 2022
MONDO:0010878	NIPA1		C1838192	Hereditary spastic paraplegia 6	MONDO	600363.0	Apr 17 2020
MONDO:0010879	LONP1		C1838180	CODAS syndrome	MONDO	600373.0	Feb 16 2016
MONDO:0010880	ACVRL1		C1838163	Telangiectasia, hereditary hemorrhagic, type 2	MONDO	600376.0	Apr 22 2020
MONDO:0010894	HNF1A		C1838100	Maturity-onset diabetes of the young type 3	MONDO	600496.0	Apr 19 2022
MONDO:0010895	EDNRB		C1838099	ABCD syndrome	MONDO	600501.0	Feb 16 2016
MONDO:0010898		LGI1	C1838062	Autosomal dominant epilepsy with auditory features	MONDO		24 Sep 2021
MONDO:0010899	CHRNA4		C1838049	Autosomal dominant nocturnal frontal lobe epilepsy 1	MONDO	600513.0	Apr 19 2022
MONDO:0010906	BMP4		C2677434	Orofacial cleft 11	MONDO	600625.0	Feb 16 2016
MONDO:0010907	TDO2		C2931837	Familial hypertryptophanemia	MONDO	600627.0	Apr 19 2022
MONDO:0010909	ERCC6		C3551173	UV-sensitive syndrome 1	MONDO	600630.0	Dec 24 2019
MONDO:0010912	TUBB3		C2748801	Fibrosis of extraocular muscles, congenital, 3A, with or without extraocular involvement	MONDO	600638.0	Apr 19 2022
MONDO:0010914	CPT2		C1833511	Carnitine palmitoyl transferase II deficiency, severe infantile form	MONDO	600649.0	Apr 19 2022
MONDO:0010915	MYH14		C1833503	Autosomal dominant nonsyndromic hearing loss 4A	MONDO	600652.0	Apr 19 2022
MONDO:0010916	GANAB		C3887964	Polycystic kidney disease 3 with or without polycystic liver disease	MONDO	600666.0	Apr 19 2022
MONDO:0010926	AP2S1		C1833372	Familial hypocalciuric hypercalcemia 3	MONDO	600740.0	Apr 19 2022
MONDO:0010929	ERF		C1833340	Craniosynostosis 4	MONDO	600775.0	Apr 17 2020
MONDO:0010932	LOC111365204		C1833321	Progressive bifocal chorioretinal atrophy	MONDO	600790.0	Apr 22 2020
MONDO:0010933	FOXI1		C3538946	Autosomal recessive nonsyndromic hearing loss 4	MONDO	600791.0	Apr 19 2022
MONDO:0010936	CHMP2B		C1833296	Frontotemporal dementia and/or amyotrophic lateral sclerosis 7	MONDO	600795.0	Mar 29 2022
MONDO:0010938	JAK3		C1833275	T-B+ severe combined immunodeficiency due to JAK3 deficiency	MONDO	600802.0	Apr 19 2022
MONDO:0010939	ABCB4		C2609268	Low phospholipid associated cholelithiasis	MONDO	600803.0	Dec 22 2020
MONDO:0010940	ADRB2		C1869116	Inherited susceptibility to asthma	MONDO	600807.0	Apr 19 2022
MONDO:0010943	PRODH		C1833247	Schizophrenia 4	MONDO	600850.0	Feb 16 2016
MONDO:0010946	PRKAG2		C1833236	Hypertrophic cardiomyopathy 6	MONDO	600858.0	Apr 19 2022
MONDO:0010947	F5		C0856761	Budd-Chiari syndrome	MONDO	600880.0	Feb 16 2016
MONDO:0010948	CRYBA1		C1833229	Cataract 10 multiple types	MONDO	600881.0	Apr 19 2022
MONDO:0010949	RAB7A		C1833219	Charcot-Marie-Tooth disease type 2B	MONDO	600882.0	Apr 22 2020
MONDO:0010952	FTL		C1833213	Hereditary hyperferritinemia with congenital cataracts	MONDO	600886.0	Apr 22 2020
MONDO:0010953	FANCE		C3160739	Fanconi anemia complementation group E	MONDO	600901.0	Apr 19 2022
MONDO:0010958	ANK2		C1970119	Cardiac arrhythmia, ankyrin-B-related	MONDO	600919.0	Apr 19 2022
MONDO:0010959	SCARF2		C1833136	Van den Ende-Gupta syndrome	MONDO	600920.0	Apr 22 2020
MONDO:0010961	PCSK1		C1833053	Obesity due to prohormone convertase I deficiency	MONDO	600955.0	Apr 19 2022
MONDO:0010962	KRT1		C1833030	Diffuse nonepidermolytic palmoplantar keratoderma	MONDO	600962.0	Feb 28 2022
MONDO:0010963	WFS1		C1833021	Autosomal dominant nonsyndromic hearing loss 6	MONDO	600965.0	Jan  1 2022
MONDO:0010964	COL9A3		C1832998	Epiphyseal dysplasia, multiple, 3	MONDO	600969.0	Apr 22 2020
MONDO:0010965	TMIE		C1832992	Autosomal recessive nonsyndromic hearing loss 6	MONDO	600971.0	Apr 19 2022
MONDO:0010967	TMC1		C1832978	Autosomal recessive nonsyndromic hearing loss 7	MONDO	600974.0	Apr 19 2022
MONDO:0010968	CYP1B1		C1832977	Glaucoma 3, primary infantile, B	MONDO	600975.0	Apr 19 2022
MONDO:0010969	PITPNM3		C1832976	Cone-rod dystrophy 5	MONDO	600977.0	Feb 16 2016
MONDO:0010970	MEIS2		C1832950	Cardiac malformation, cleft lip/palate, microcephaly, and digital anomalies	MONDO	600987.0	Mar 29 2022
MONDO:0010973	GSDME		C1832932	Autosomal dominant nonsyndromic hearing loss 5	MONDO	600994.0	Apr 19 2022
MONDO:0010974	NPHS2		C1868672	Nephrotic syndrome, type 2	MONDO	600995.0	Dec 27 2021
MONDO:0010975	RYR2		C1832931	Arrhythmogenic right ventricular dysplasia 2	MONDO	600996.0	Apr 19 2022
MONDO:0010976	KRT14		C3715082	Epidermolysis bullosa simplex 1D, generalized, intermediate or severe, autosomal recessive	MONDO	601001.0	Apr 19 2022
MONDO:0010977	ATP2A1		C1832918	Brody myopathy	MONDO	601003.0	Feb 16 2016
MONDO:0010979	CACNA1C		C1832916	Timothy syndrome	MONDO	601005.0	Feb 16 2016
MONDO:0010983	SLC2A1		C1832855	Dystonia 9	MONDO	601042.0	Aug 24 2016
MONDO:0010984	CDH23		C1832845	Usher syndrome type 1D	MONDO	601067.0	Apr 22 2020
MONDO:0010985	SAMD12		C1832841	Epilepsy, familial adult myoclonic, 1	MONDO	601068.0	Feb 16 2016
MONDO:0010986	OTOF		C1832828	Autosomal recessive nonsyndromic hearing loss 9	MONDO	601071.0	Apr 19 2022
MONDO:0010987	TMPRSS3		C1832827	Autosomal recessive nonsyndromic hearing loss 8	MONDO	601072.0	Apr 19 2022
MONDO:0010992	MAF		C1832812	Ayme-Gripp syndrome	MONDO	601088.0	Apr 19 2022
MONDO:0010995	LITAF		C0270913	Charcot-Marie-Tooth disease type 1C	MONDO	601098.0	Apr 19 2022
MONDO:0010997	MAPT		C4551863	Supranuclear palsy, progressive, 1	MONDO	601104.0	May 21 2021
MONDO:0010998	ALG3		C1832736	ALG3-CDG	MONDO	601110.0	Apr 17 2020
MONDO:0011001	SCN5A		C4551804	Brugada syndrome 1	MONDO	601144.0	May 25 2016
MONDO:0011002	MFN2		CN305336	Neuropathy, hereditary motor and sensory, type 6A	MONDO	601152.0	Dec 27 2021
MONDO:0011003	SCN5A		C1832680	Dilated cardiomyopathy 1E	MONDO	601154.0	May 26 2016
MONDO:0011006	ALDH18A1		C1832669	Hereditary spastic paraplegia 9A	MONDO	601162.0	Apr 17 2020
MONDO:0011010	STRA6		C1832661	Matthew-Wood syndrome	MONDO	601186.0	Jan 22 2021
MONDO:0011013	CASR		C0342345	Autosomal dominant hypocalcemia 1	MONDO	601198.0	Apr 19 2022
MONDO:0011017	JUP		C1832600	Naxos disease	MONDO	601214.0	Feb 16 2016
MONDO:0011018	LTBP3		C1832594	Brachyolmia-amelogenesis imperfecta syndrome	MONDO	601216.0	Apr 19 2022
MONDO:0011025	ATCAY		C1832585	Cayman type cerebellar ataxia	MONDO	601238.0	Apr 19 2022
MONDO:0011026	ABCA12		C1832550	Autosomal recessive congenital ichthyosis 4A	MONDO	601277.0	Feb 16 2016
MONDO:0011027	CAPN10		C1832544	Diabetes mellitus, noninsulin-dependent, 1	MONDO	601283.0	Feb 16 2016
MONDO:0011028	SGCD		C1832525	Autosomal recessive limb-girdle muscular dystrophy type 2F	MONDO	601287.0	Apr 17 2020
MONDO:0011031	EYA4		C1832476	Autosomal dominant nonsyndromic hearing loss 10	MONDO	601316.0	Apr 19 2022
MONDO:0011032	MYO7A		C1832475	Autosomal dominant nonsyndromic hearing loss 11	MONDO	601317.0	Apr 19 2022
MONDO:0011035	NF1		C2931482	Neurofibromatosis-Noonan syndrome	MONDO	601321.0	Feb 16 2016
MONDO:0011037	BICC1		C3275898	Renal dysplasia, cystic, susceptibility to	MONDO	601331.0	Apr 22 2020
MONDO:0011038	ATP1A3		C1832466	Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome	MONDO	601338.0	Apr 17 2020
MONDO:0011054	TBX4		C1832432	Autosomal recessive amelia	MONDO	601360.0	Apr 19 2022
MONDO:0011058	COCH		C1832425	Autosomal dominant nonsyndromic hearing loss 9	MONDO	601369.0	Apr 19 2022
MONDO:0011066	MTMR2		C1832399	Charcot-Marie-Tooth disease type 4B1	MONDO	601382.0	Apr 19 2022
MONDO:0011067	ATP2B2		C1832394	Autosomal recessive nonsyndromic hearing loss 12	MONDO	601386.0	Apr 19 2022
MONDO:0011068	CTLA4		C1832392	Type 1 diabetes mellitus 12	MONDO	601388.0	Apr 19 2022
MONDO:0011070	DCHS1		C4551950	Van Maldergem syndrome 1	MONDO	601390.0	Oct 23 2016
MONDO:0011073	HYMAI		C1832386	Diabetes mellitus, transient neonatal, 1	MONDO	601410.0	Apr 19 2022
MONDO:0011074	LMX1A		C1832379	Autosomal dominant nonsyndromic hearing loss 7	MONDO	601412.0	Apr 19 2022
