COSMIC_PHENOTYPE_ID,SITE_PRIMARY,SITE_SUBTYPE1,SITE_SUBTYPE2,SITE_SUBTYPE3,HISTOLOGY,HIST_SUBTYPE1,HIST_SUBTYPE2,HIST_SUBTYPE3,SITE_PRIMARY_COSMIC,SITE_SUBTYPE1_COSMIC,SITE_SUBTYPE2_COSMIC,SITE_SUBTYPE3_COSMIC,HISTOLOGY_COSMIC,HIST_SUBTYPE1_COSMIC,HIST_SUBTYPE2_COSMIC,HIST_SUBTYPE3_COSMIC,NCI,EFO
COSO101555226,soft_tissue,buttock,NS,NS,sarcoma,NS,NS,NS,soft_tissue,NS,buttock,NS,sarcoma,NS,NS,NS,C9306,http://www.ebi.ac.uk/efo/EFO_1001968
COSO31875226,soft_tissue,retroperitoneum,NS,NS,sarcoma,NS,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,retroperitoneum,NS,sarcoma,NS,NS,NS,C9306,http://www.ebi.ac.uk/efo/EFO_1001968
COSO36986172,soft_tissue,buttock,NS,NS,sarcoma,peripheral_nerve_sheath_tumour,malignant,NS,soft_tissue,nerve_sheath,buttock,NS,malignant_peripheral_nerve_sheath_tumour,NS,NS,NS,C3798,http://www.ebi.ac.uk/efo/EFO_0000760
COSO36996172,soft_tissue,lower_extremity,NS,NS,sarcoma,peripheral_nerve_sheath_tumour,malignant,NS,soft_tissue,nerve_sheath,lower_extremity,NS,malignant_peripheral_nerve_sheath_tumour,NS,NS,NS,C3798,http://www.ebi.ac.uk/efo/EFO_0000760
COSO37016172,soft_tissue,posterior_mediastinum,NS,NS,sarcoma,peripheral_nerve_sheath_tumour,malignant,NS,soft_tissue,nerve_sheath,mediastinum,NS,malignant_peripheral_nerve_sheath_tumour,NS,NS,NS,C3798,http://www.ebi.ac.uk/efo/EFO_0000760
COSO37026172,soft_tissue,retroperitoneum,NS,NS,sarcoma,peripheral_nerve_sheath_tumour,malignant,NS,soft_tissue,nerve_sheath,retroperitoneum,NS,malignant_peripheral_nerve_sheath_tumour,NS,NS,NS,C3798,http://www.ebi.ac.uk/efo/EFO_0000760
COSO37046172,soft_tissue,spinal_cord,NS,NS,sarcoma,peripheral_nerve_sheath_tumour,malignant,NS,soft_tissue,nerve_sheath,spinal_cord,NS,malignant_peripheral_nerve_sheath_tumour,NS,NS,NS,C3798,http://www.ebi.ac.uk/efo/EFO_0000760
COSO37056172,soft_tissue,upper_extremity,NS,NS,sarcoma,peripheral_nerve_sheath_tumour,malignant,NS,soft_tissue,nerve_sheath,upper_extremity,NS,malignant_peripheral_nerve_sheath_tumour,NS,NS,NS,C3798,http://www.ebi.ac.uk/efo/EFO_0000760
COSO28375274,soft_tissue,nerve_sheath,NS,NS,schwannoma,NS,NS,NS,soft_tissue,nerve_sheath,NS,NS,schwannoma,NS,NS,NS,C3269,http://www.ebi.ac.uk/efo/EFO_0000693
COSO37076440,spinal_cord,NS,NS,NS,glioma,ependymoma,myxopapillary,NS,central_nervous_system,spinal_cord,NS,NS,glioma,ependymoma,myxopapillary,NS,C3697,
COSO37076438,spinal_cord,NS,NS,NS,glioma,ependymoma,grade_II,NS,central_nervous_system,spinal_cord,NS,NS,glioma,ependymoma_Grade_II,NS,NS,C3875,
COSO37076433,spinal_cord,NS,NS,NS,glioma,ependymoma,anaplastic,NS,central_nervous_system,spinal_cord,NS,NS,glioma,ependymoma_Grade_III-IV,anaplastic,NS,C4049,
COSO36005325,stomach,antrum,NS,NS,adenocarcinoma,intestinal,NS,NS,stomach,NS,NS,NS,carcinoma,intestinal_adenocarcinoma,NS,NS,C9157,http://www.ebi.ac.uk/efo/EFO_0000504
COSO36006232,stomach,antrum,NS,NS,adenocarcinoma,mixed,NS,NS,stomach,NS,NS,NS,carcinoma,mixed_intestinal_and_diffuse_adenocarcinoma-unclassifiable,NS,NS,C4004,http://www.ebi.ac.uk/efo/EFO_0000503
COSO36004837,stomach,NS,NS,NS,adenoma,foveolar,NS,NS,stomach,NS,NS,NS,adenoma,NS,NS,NS,C7699,http://www.ebi.ac.uk/efo/EFO_1000268
COSO36004841,stomach,NS,NS,NS,carcinoma,endocrine_cell,NS,NS,stomach,NS,NS,NS,carcinoid-endocrine_tumour,NS,NS,NS,C4635,http://www.ebi.ac.uk/efo/EFO_1000275
COSO360020337,stomach,NS,NS,NS,carcinoma,hepatoid,NS,NS,stomach,NS,NS,NS,carcinoma,hepatoid_adenocarcinoma,NS,NS,C66950,http://www.ebi.ac.uk/efo/EFO_1000293
COSO36075381,stomach,body,NS,NS,gastrointestinal_stromal_tumour,benign,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,stomach,NS,gastrointestinal_stromal_tumour,NS,NS,NS,C3868,http://www.orpha.net/ORDO/Orphanet_44890
COSO36075381,stomach,antrum,NS,NS,gastrointestinal_stromal_tumour,borderline,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,stomach,NS,gastrointestinal_stromal_tumour,NS,NS,NS,C3868,http://www.orpha.net/ORDO/Orphanet_44890
COSO36075381,stomach,body,NS,NS,gastrointestinal_stromal_tumour,borderline,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,stomach,NS,gastrointestinal_stromal_tumour,NS,NS,NS,C3868,http://www.orpha.net/ORDO/Orphanet_44890
COSO36075381,stomach,fundus,NS,NS,gastrointestinal_stromal_tumour,borderline,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,stomach,NS,gastrointestinal_stromal_tumour,NS,NS,NS,C3868,http://www.orpha.net/ORDO/Orphanet_44890
COSO36075381,stomach,antrum,NS,NS,gastrointestinal_stromal_tumour,malignant,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,stomach,NS,gastrointestinal_stromal_tumour,NS,NS,NS,C3868,http://www.orpha.net/ORDO/Orphanet_44890
COSO36075381,stomach,body,NS,NS,gastrointestinal_stromal_tumour,malignant,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,stomach,NS,gastrointestinal_stromal_tumour,NS,NS,NS,C3868,http://www.orpha.net/ORDO/Orphanet_44890
COSO36075381,stomach,fundus,NS,NS,gastrointestinal_stromal_tumour,malignant,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,stomach,NS,gastrointestinal_stromal_tumour,NS,NS,NS,C3868,http://www.orpha.net/ORDO/Orphanet_44890
COSO36075381,stomach,middle,NS,NS,gastrointestinal_stromal_tumour,NS,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,stomach,NS,gastrointestinal_stromal_tumour,NS,NS,NS,C3868,http://www.orpha.net/ORDO/Orphanet_44890
COSO36075381,stomach,upper,NS,NS,gastrointestinal_stromal_tumour,NS,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,stomach,NS,gastrointestinal_stromal_tumour,NS,NS,NS,C3868,http://www.orpha.net/ORDO/Orphanet_44890
COSO36286585,thyroid,NS,NS,NS,adenoma,follicular,Hurthle_cell,NS,thyroid,NS,NS,NS,adenoma-nodule-goitre,Hurthle_cell_adenoma,NS,NS,C6042,
COSO36286585,thyroid,NS,NS,NS,adenoma,Hurthle_cell,NS,NS,thyroid,NS,NS,NS,adenoma-nodule-goitre,Hurthle_cell_adenoma,NS,NS,C6042,
COSO36286586,thyroid,NS,NS,NS,carcinoma,follicular,Hurthle_cell,NS,thyroid,NS,NS,NS,carcinoma,Hurthle_cell_carcinoma,NS,NS,C4946,http://www.ebi.ac.uk/efo/EFO_1000592
COSO36286588,thyroid,NS,NS,NS,carcinoma,highly_differentiated,NS,NS,thyroid,NS,NS,NS,carcinoma,insular_carcinoma,NS,NS,C6040,http://www.ebi.ac.uk/efo/EFO_1000489
COSO36286586,thyroid,NS,NS,NS,carcinoma,Hurthle_cell,NS,NS,thyroid,NS,NS,NS,carcinoma,Hurthle_cell_carcinoma,NS,NS,C4946,http://www.ebi.ac.uk/efo/EFO_1000592
COSO36285533,thyroid,NS,NS,NS,carcinoma,mucoepidermoid,NS,NS,thyroid,NS,NS,NS,carcinoma,mucoepidermoid_carcinoma,NS,NS,C38762,http://www.ebi.ac.uk/efo/EFO_1000590
COSO36286294,thyroid,NS,NS,NS,carcinoma,papillary,conventional,NS,thyroid,NS,NS,NS,carcinoma,papillary_carcinoma,NS,NS,C4035,http://www.ebi.ac.uk/efo/EFO_0000641
COSO36286294,thyroid,NS,NS,NS,carcinoma,papillary,oncocytic_conventional,NS,thyroid,NS,NS,NS,carcinoma,papillary_carcinoma,NS,NS,C4035,http://www.ebi.ac.uk/efo/EFO_0000641
COSO36286294,thyroid,NS,NS,NS,carcinoma,papillary,oncocytic_follicular,NS,thyroid,NS,NS,NS,carcinoma,papillary_carcinoma,NS,NS,C4035,http://www.ebi.ac.uk/efo/EFO_0000641
COSO36286294,thyroid,NS,NS,NS,carcinoma,papillary,Warthin_like,NS,thyroid,NS,NS,NS,carcinoma,papillary_carcinoma,NS,NS,C4035,http://www.ebi.ac.uk/efo/EFO_0000641
COSO36286294,thyroid,NS,NS,NS,carcinoma,papillary,microcarcinoma,NS,thyroid,NS,NS,NS,carcinoma,papillary_carcinoma,NS,NS,C4035,http://www.ebi.ac.uk/efo/EFO_0000641
COSO36286294,thyroid,NS,NS,NS,carcinoma,papillary,diffuse_sclerosing,NS,thyroid,NS,NS,NS,carcinoma,papillary_carcinoma,NS,NS,C4035,http://www.ebi.ac.uk/efo/EFO_0000641
COSO36286294,thyroid,NS,NS,NS,carcinoma,papillary,columnar_cell,NS,thyroid,NS,NS,NS,carcinoma,papillary_carcinoma,NS,NS,C4035,http://www.ebi.ac.uk/efo/EFO_0000641
COSO36286586,thyroid,NS,NS,NS,carcinoma,papillary,Hurthle_cell,NS,thyroid,NS,NS,NS,carcinoma,Hurthle_cell_carcinoma,NS,NS,C4946,http://www.ebi.ac.uk/efo/EFO_1000592
COSO36286585,thyroid,NS,NS,NS,Hurthle_cell_tumour,benign,NS,NS,thyroid,NS,NS,NS,adenoma-nodule-goitre,Hurthle_cell_adenoma,NS,NS,C6042,
COSO36286586,thyroid,NS,NS,NS,Hurthle_cell_tumour,malignant,NS,NS,thyroid,NS,NS,NS,carcinoma,Hurthle_cell_carcinoma,NS,NS,C4946,http://www.ebi.ac.uk/efo/EFO_1000592
COSO36286598,thyroid,NS,NS,NS,hyalinizing_trabecular_tumour,NS,NS,NS,thyroid,NS,NS,NS,adenoma-nodule-goitre,hyalinizing_trabecular_tumour,NS,NS,C6846,http://www.ebi.ac.uk/efo/EFO_1000588
COSO36286296,thyroid,NS,NS,NS,hyperplasia,follicular,NS,NS,thyroid,NS,NS,NS,adenoma-nodule-goitre,NS,NS,NS,C3628,http://www.ebi.ac.uk/efo/EFO_1000122
COSO36286296,thyroid,NS,NS,NS,hyperplastic_nodule,NS,NS,NS,thyroid,NS,NS,NS,adenoma-nodule-goitre,NS,NS,NS,C3628,http://www.ebi.ac.uk/efo/EFO_1000122
COSO37215226,uterus,NS,NS,NS,sarcoma,heterologous,high_grade,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,uterus,NS,sarcoma,NS,NS,NS,C9306,http://www.ebi.ac.uk/efo/EFO_1001968
COSO37215226,uterus,NS,NS,NS,sarcoma,NS,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,uterus,NS,sarcoma,NS,NS,NS,C9306,http://www.ebi.ac.uk/efo/EFO_1001968
COSO36436606,vulva,NS,NS,NS,carcinoma,in_situ,NS,NS,vulva,NS,NS,NS,in_situ_neoplasm,vulvar_intraepithelial_neoplasia_Grade_III,NS,NS,C4756,http://www.ebi.ac.uk/efo/EFO_0002627
COSO36436607,vulva,NS,NS,NS,dysplasia,mild,NS,NS,vulva,NS,NS,NS,in_situ_neoplasm,vulvar_intraepithelial_neoplasia_Grade_I,NS,NS,C4760,http://www.ebi.ac.uk/efo/EFO_1000330
COSO29916015,lung,NS,NS,NS,carcinoma,adenoid_cystic,NS,NS,lung,NS,NS,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,C5666,
COSO28066610,bone,NS,NS,NS,osteosarcoma,osteoblastic,NS,NS,bone,NS,NS,NS,osteosarcoma,osteoblastic,NS,NS,C53953,http://www.ebi.ac.uk/efo/EFO_0000637
COSO28066612,bone,NS,NS,NS,osteosarcoma,fibroblastic,NS,NS,bone,NS,NS,NS,osteosarcoma,fibroblastic,NS,NS,C4020,
COSO28066614,bone,NS,NS,NS,osteosarcoma,chondroblastic,NS,NS,bone,NS,NS,NS,osteosarcoma,chondroblastic,NS,NS,C4021,
COSO28066616,bone,NS,NS,NS,osteosarcoma,telangiectatic,NS,NS,bone,NS,NS,NS,osteosarcoma,telangiectatic,NS,NS,C3902,
COSO28066618,bone,NS,NS,NS,osteosarcoma,parosteal,NS,NS,bone,NS,NS,NS,osteosarcoma,parosteal,NS,NS,C8969,http://www.ebi.ac.uk/efo/EFO_1001000
COSO33326608,skin,hands_palmar,NS,NS,fibromatosis,superficial,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,hand,NS,palmar_superficial_fibromatosis,NS,NS,NS,C3469,http://www.ebi.ac.uk/efo/EFO_1000438
COSO33326608,skin,hands_infantile_digital,NS,NS,fibromatosis,superficial,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,hand,NS,palmar_superficial_fibromatosis,NS,NS,NS,C3469,http://www.ebi.ac.uk/efo/EFO_1000438
COSO32006620,pituitary,NS,NS,NS,adenoma,silent_corticotroph,NS,NS,pituitary,NS,NS,NS,adenoma,ACTH_non_functioning,NS,NS,C4348,http://www.ebi.ac.uk/efo/EFO_0008516
COSO32766078,skin,nose,NS,NS,melanoma,NS,NS,NS,skin,face,NS,NS,malignant_melanoma,NS,NS,NS,C3510,http://www.ebi.ac.uk/efo/EFO_0000389
COSO32764830,skin,nose,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,skin,face,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,C4819,
COSO32765726,skin,nose,NS,NS,carcinoma,basal_cell_carcinoma,NS,NS,skin,face,NS,NS,carcinoma,basal_cell_carcinoma,NS,NS,C2921,http://www.ebi.ac.uk/efo/EFO_0004193
COSO32766084,skin,nose,NS,NS,melanoma,lentigo_maligna,NS,NS,skin,face,NS,NS,malignant_melanoma,lentigo_maligna,NS,NS,C9151,
COSO34405298,soft_tissue,buttock,NS,NS,neoplasm,aggressive_fibromatosis_(desmoid_tumour),NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,buttock,NS,desmoid_tumour-fibromatosis,NS,NS,NS,C6489,
COSO34415298,soft_tissue,chest_wall,NS,NS,neoplasm,aggressive_fibromatosis_(desmoid_tumour),NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,chest_wall,NS,desmoid_tumour-fibromatosis,NS,NS,NS,C6713,
COSO34405298,soft_tissue,left_buttock,NS,NS,neoplasm,aggressive_fibromatosis_(desmoid_tumour),NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,buttock,NS,desmoid_tumour-fibromatosis,NS,NS,NS,C6489,
COSO34505298,soft_tissue,neck,NS,NS,neoplasm,aggressive_fibromatosis_(desmoid_tumour),NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,neck,NS,desmoid_tumour-fibromatosis,NS,NS,NS,C6489,
COSO31355298,soft_tissue,NS,NS,NS,neoplasm,aggressive_fibromatosis_(desmoid_tumour),NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,NS,NS,desmoid_tumour-fibromatosis,NS,NS,NS,C6489,
COSO34525298,soft_tissue,right_axilla,NS,NS,neoplasm,aggressive_fibromatosis_(desmoid_tumour),NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,axilla,NS,desmoid_tumour-fibromatosis,NS,NS,NS,C6489,
COSO34555298,soft_tissue,right_shoulder,NS,NS,neoplasm,aggressive_fibromatosis_(desmoid_tumour),NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,shoulder,NS,desmoid_tumour-fibromatosis,NS,NS,NS,C6489,
COSO34405298,soft_tissue,right_buttock,NS,NS,neoplasm,aggressive_fibromatosis_(desmoid_tumour),NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,buttock,NS,desmoid_tumour-fibromatosis,NS,NS,NS,C6489,
COSO32224826,salivary_gland,parotid_gland,NS,NS,adenocarcinoma,NS,NS,NS,salivary_gland,parotid,NS,NS,carcinoma,adenocarcinoma,NS,NS,C5941,
COSO32226017,salivary_gland,parotid_gland,NS,NS,carcinoma,large_cell,undifferentiated,NS,salivary_gland,parotid,NS,NS,carcinoma,large_cell_undifferentiated_carcinoma,NS,NS,C35735,http://www.ebi.ac.uk/efo/EFO_1000517
COSO33706073,skin,plantar,NS,NS,melanoma,lentiginous,acral,NS,skin,sole,NS,NS,malignant_melanoma,acral_lentiginous,NS,NS,C4022,
COSO30554830,mouth,right_cheek,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,upper_aerodigestive_tract,mouth,cheek,NS,carcinoma,squamous_cell_carcinoma,NS,NS,C4833,http://www.ebi.ac.uk/efo/EFO_0000199
COSO30664830,mouth,right_lower_lip,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,upper_aerodigestive_tract,mouth,lip,NS,carcinoma,squamous_cell_carcinoma,NS,NS,C4833,http://www.ebi.ac.uk/efo/EFO_0000199
COSO31034830,mouth,right_tongue,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,upper_aerodigestive_tract,mouth,tongue,NS,carcinoma,squamous_cell_carcinoma,NS,NS,C4833,http://www.ebi.ac.uk/efo/EFO_0000199
COSO33746114,skin,right_trunk,NS,NS,nevus,dysplastic,NS,NS,skin,trunk,NS,NS,benign_melanocytic_nevus,dysplastic,NS,NS,C3694,http://www.ebi.ac.uk/efo/EFO_0004199
COSO33806114,skin,shin,NS,NS,nevus,dysplastic,NS,NS,skin,lower_leg,NS,NS,benign_melanocytic_nevus,dysplastic,NS,NS,C3694,http://www.ebi.ac.uk/efo/EFO_0004199
COSO30834830,mouth,soft_palate,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,upper_aerodigestive_tract,mouth,mouth_roof,NS,carcinoma,squamous_cell_carcinoma,NS,NS,C4833,http://www.ebi.ac.uk/efo/EFO_0000199
COSO30834830,mouth,soft_palate,palatum_molle,NS,carcinoma,squamous_cell_carcinoma,NS,NS,upper_aerodigestive_tract,mouth,mouth_roof,NS,carcinoma,squamous_cell_carcinoma,NS,NS,C4833,http://www.ebi.ac.uk/efo/EFO_0000199
COSO32766105,skin,temple,NS,NS,nevus,small_congenital,NS,NS,skin,face,NS,NS,benign_melanocytic_nevus,congenital,NS,NS,C3944,
COSO32764862,skin,temple,NS,NS,carcinoma,nodular,NS,NS,skin,face,NS,NS,carcinoma,NS,NS,NS,C4914,http://www.ebi.ac.uk/efo/EFO_0009259
COSO32764830,skin,temple,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,skin,face,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,C4819,
COSO32766091,skin,temple,NS,NS,melanoma,nodular,NS,NS,skin,face,NS,NS,malignant_melanoma,nodular,NS,NS,C4225,http://www.ebi.ac.uk/efo/EFO_0008515
COSO32766078,skin,temple,NS,NS,melanoma,NS,NS,NS,skin,face,NS,NS,malignant_melanoma,NS,NS,NS,C3510,http://www.ebi.ac.uk/efo/EFO_0000389
COSO33166091,skin,toe,NS,NS,melanoma,nodular,NS,NS,skin,foot,NS,NS,malignant_melanoma,nodular,NS,NS,C4225,http://www.ebi.ac.uk/efo/EFO_0008515
COSO33166078,skin,toe,NS,NS,melanoma,NS,NS,NS,skin,foot,NS,NS,malignant_melanoma,NS,NS,NS,C3510,http://www.ebi.ac.uk/efo/EFO_0000389
COSO30574830,mouth,tongue_floor_of_mouth,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,upper_aerodigestive_tract,mouth,mouth_floor,NS,carcinoma,squamous_cell_carcinoma,NS,NS,C4833,http://www.ebi.ac.uk/efo/EFO_0000199
COSO30575544,mouth,tongue_floor_of_mouth,NS,NS,dysplasia,adjacent_to_carcinoma,NS,NS,upper_aerodigestive_tract,mouth,mouth_floor,NS,other,dysplasia,NS,NS,C129863,
COSO292010552,eye,uveal_tract,NS,NS,melanoma,epithelioid,NS,NS,eye,uveal_tract,NS,NS,malignant_melanoma,epithelioid,NS,NS,C35780,http://www.ebi.ac.uk/efo/EFO_1000244
COSO292010071,eye,uveal_tract,NS,NS,melanoma,mixed_cell,NS,NS,eye,uveal_tract,NS,NS,malignant_melanoma,mixed,NS,NS,C35781,http://www.ebi.ac.uk/efo/EFO_1000380
COSO292010551,eye,uveal_tract,NS,NS,melanoma,spindle_cell,NS,NS,eye,uveal_tract,NS,NS,malignant_melanoma,spindle,NS,NS,C7986,
COSO29206078,eye,uveal_tract,NS,NS,melanoma,NS,NS,NS,eye,uveal_tract,NS,NS,malignant_melanoma,NS,NS,NS,C7712,http://www.ebi.ac.uk/efo/EFO_1000616
COSO32786050,skin,wrist,NS,NS,melanoma,superficial_spreading,NS,NS,skin,forearm,NS,NS,malignant_melanoma,superficial_spreading,NS,NS,C9152,
COSO33456050,skin,upper_thigh,NS,NS,melanoma,superficial_spreading,NS,NS,skin,upper_leg,NS,NS,malignant_melanoma,superficial_spreading,NS,NS,C9152,
COSO32864830,skin,retroauricular,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,skin,scalp,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,C4819,
COSO32865726,skin,retroauricular,NS,NS,carcinoma,basal_cell_carcinoma,NS,NS,skin,scalp,NS,NS,carcinoma,basal_cell_carcinoma,NS,NS,C2921,http://www.ebi.ac.uk/efo/EFO_0004193
COSO33456050,skin,thigh,NS,NS,melanoma,superficial_spreading,NS,NS,skin,upper_leg,NS,NS,malignant_melanoma,superficial_spreading,NS,NS,C9152,
COSO33456114,skin,thigh,NS,NS,nevus,dysplastic,NS,NS,skin,upper_leg,NS,NS,benign_melanocytic_nevus,dysplastic,NS,NS,C3694,http://www.ebi.ac.uk/efo/EFO_0004199
COSO33456107,skin,thigh,NS,NS,nevus,NS,NS,NS,skin,upper_leg,NS,NS,benign_melanocytic_nevus,NS,NS,NS,C7571,
COSO33456105,skin,thigh,NS,NS,nevus,small_congenital,NS,NS,skin,upper_leg,NS,NS,benign_melanocytic_nevus,congenital,NS,NS,C3944,
COSO37236147,soft_tissue,thigh,NS,NS,liposarcoma,dedifferentiated,lipoma_like,NS,soft_tissue,fat,upper_leg,NS,liposarcoma,dedifferentiated,NS,NS,C3704,http://www.ebi.ac.uk/efo/EFO_0003085
COSO37236147,soft_tissue,thigh,NS,NS,liposarcoma,dedifferentiated,malignant_fibrous_histiocytoma_storiform_pleomorphic,NS,soft_tissue,fat,upper_leg,NS,liposarcoma,dedifferentiated,NS,NS,C3704,http://www.ebi.ac.uk/efo/EFO_0003085
COSO37236152,soft_tissue,thigh,NS,NS,liposarcoma,lipoma_like,NS,NS,soft_tissue,fat,upper_leg,NS,liposarcoma,well_differentiated,NS,NS,C4250,http://www.ebi.ac.uk/efo/EFO_0000736
COSO37235756,soft_tissue,thigh,NS,NS,liposarcoma,sclerosing,NS,NS,soft_tissue,fat,upper_leg,NS,liposarcoma,NS,NS,NS,C3194,http://www.ebi.ac.uk/efo/EFO_0000569
COSO37236152,soft_tissue,thigh,NS,NS,liposarcoma,well_differentiated,lipoma_like,NS,soft_tissue,fat,upper_leg,NS,liposarcoma,well_differentiated,NS,NS,C4250,http://www.ebi.ac.uk/efo/EFO_0000736
COSO37236152,soft_tissue,thigh,NS,NS,liposarcoma,well_differentiated,sclerosing,NS,soft_tissue,fat,upper_leg,NS,liposarcoma,well_differentiated,NS,NS,C4250,http://www.ebi.ac.uk/efo/EFO_0000736
COSO37245343,soft_tissue,muscle,thigh,NS,rhabdomyosarcoma,embryonal,NS,NS,soft_tissue,striated_muscle,upper_leg,NS,rhabdomyosarcoma,embryonal,NS,NS,C8971,http://www.ebi.ac.uk/efo/EFO_0000437
COSO37245343,soft_tissue,striated_muscle,thigh,NS,rhabdomyosarcoma,embryonal,NS,NS,soft_tissue,striated_muscle,upper_leg,NS,rhabdomyosarcoma,embryonal,NS,NS,C8971,http://www.ebi.ac.uk/efo/EFO_0000437
COSO37246179,soft_tissue,muscle,thigh,NS,rhabdomyosarcoma,pleomorphic,NS,NS,soft_tissue,striated_muscle,upper_leg,NS,rhabdomyosarcoma,pleomorphic,NS,NS,C4258,
COSO37246179,soft_tissue,striated_muscle,thigh,NS,rhabdomyosarcoma,pleomorphic,NS,NS,soft_tissue,striated_muscle,upper_leg,NS,rhabdomyosarcoma,pleomorphic,NS,NS,C4258,
COSO37235756,soft_tissue,thigh,NS,NS,sarcoma,adipocytic_tumour,liposarcoma,NS,soft_tissue,fat,upper_leg,NS,liposarcoma,NS,NS,NS,C3194,http://www.ebi.ac.uk/efo/EFO_0000569
COSO37255754,soft_tissue,thigh,NS,NS,sarcoma,fibrous_tissue_tumour,malignant_fibrous_histiocytoma,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,upper_leg,NS,malignant_fibrous_histiocytoma-pleomorphic_sarcoma,NS,NS,NS,C4247,http://www.ebi.ac.uk/efo/EFO_1001972
COSO34396665,soft_tissue,abdominal_wall,NS,NS,malignant_fibrous_histiocytoma,storiform_pleomorphic,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,abdominal_wall,NS,malignant_fibrous_histiocytoma-pleomorphic_sarcoma,storiform_pleomorphic,NS,NS,C4247,http://www.ebi.ac.uk/efo/EFO_1001972
COSO28425685,breast,NS,NS,NS,sarcoma,spindle_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,breast,NS,sarcoma,spindle,NS,NS,C37005,http://www.ebi.ac.uk/efo/EFO_1000392
COSO37256204,soft_tissue,thigh,NS,NS,sarcoma,malignant_fibrous_histiocytoma,giant_cell,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,upper_leg,NS,malignant_fibrous_histiocytoma-pleomorphic_sarcoma,giant_cell,NS,NS,C8380,
COSO34406665,soft_tissue,buttock,NS,NS,malignant_fibrous_histiocytoma,storiform_pleomorphic,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,buttock,NS,malignant_fibrous_histiocytoma-pleomorphic_sarcoma,storiform_pleomorphic,NS,NS,C4247,http://www.ebi.ac.uk/efo/EFO_1001972
COSO37255754,soft_tissue,thigh,NS,NS,sarcoma,malignant_fibrous_histiocytoma,xanthomatous,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,upper_leg,NS,malignant_fibrous_histiocytoma-pleomorphic_sarcoma,NS,NS,NS,C4247,http://www.ebi.ac.uk/efo/EFO_1001972
COSO37265393,muscle,thigh,NS,NS,leiomyosarcoma,NS,NS,NS,soft_tissue,smooth_muscle,upper_leg,NS,leiomyosarcoma,NS,NS,NS,C3158,http://www.ebi.ac.uk/efo/EFO_0000564
COSO33456047,skin,thigh,NS,NS,carcinoma,Merkel_cell,NS,NS,skin,upper_leg,NS,NS,carcinoma,Merkel_cell_carcinoma,NS,NS,C9231,http://www.ebi.ac.uk/efo/EFO_1001471
COSO32666029,skin,NS,NS,NS,adnexal_tumour,keratosis,seborrhoeic,NS,skin,NS,NS,NS,other,seborrhoeic_keratosis,NS,NS,C9006,http://www.ebi.ac.uk/efo/EFO_0005584
COSO32534830,sinonasal,sinus,piriform,NS,carcinoma,squamous_cell_carcinoma,NS,NS,upper_aerodigestive_tract,sinonasal_and_nasal_cavity,sinus,piriform,carcinoma,squamous_cell_carcinoma,NS,NS,C68611,
