"id","Associated Disease","Disease Ontology Description","UniProt Description","Protein Count","Direct Association Count","Mondo ID"
3600,"Coumarin Sensitivity",,,1,1,
3601,"COVID-19",,,3,3,"MONDO:0100096"
3602,"Cowchock syndrome",,,1,1,
3603,"Cowden disease","An autosomal dominant disease characterized by multiple noncancerous, tumor-like growths (hamartomas) and an increased risk of certain forms of cancer, especially breast, thyroid and endometrium.",,12,11,"MONDO:0016063"
3604,"Cowden syndrome 1",,"An autosomal dominant hamartomatous polyposis syndrome with age-related penetrance. Cowden syndrome is characterized by hamartomatous lesions affecting derivatives of ectodermal, mesodermal and endodermal layers, macrocephaly, facial trichilemmomas (benign tumors of the hair follicle infundibulum), acral keratoses, papillomatous papules, and elevated risk for development of several types of malignancy, particularly breast carcinoma in women and thyroid carcinoma in both men and women. Colon cancer and renal cell carcinoma have also been reported. Hamartomas can be found in virtually every organ, but most commonly in the skin, gastrointestinal tract, breast and thyroid.",2,2,"MONDO:0008021"
3605,"Cowden syndrome 2",,,2,2,"MONDO:0012878"
3606,"Cowden syndrome 3",,,1,1,"MONDO:0014045"
3607,"Cowden syndrome 4",,"A form of Cowden syndrome, a hamartomatous polyposis syndrome with age-related penetrance. Cowden syndrome is characterized by hamartomatous lesions affecting derivatives of ectodermal, mesodermal and endodermal layers, macrocephaly, facial trichilemmomas (benign tumors of the hair follicle infundibulum), acral keratoses, papillomatous papules, and elevated risk for development of several types of malignancy, particularly breast carcinoma in women and thyroid carcinoma in both men and women. Colon cancer and renal cell carcinoma have also been reported. Hamartomas can be found in virtually every organ, but most commonly in the skin, gastrointestinal tract, breast and thyroid.",1,1,"MONDO:0014046"
3608,"Cowden syndrome 5",,"A form of Cowden syndrome, a hamartomatous polyposis syndrome with age-related penetrance. Cowden syndrome is characterized by hamartomatous lesions affecting derivatives of ectodermal, mesodermal and endodermal layers, macrocephaly, facial trichilemmomas (benign tumors of the hair follicle infundibulum), acral keratoses, papillomatous papules, and elevated risk for development of several types of malignancy, particularly breast carcinoma in women and thyroid carcinoma in both men and women. Colon cancer and renal cell carcinoma have also been reported. Hamartomas can be found in virtually every organ, but most commonly in the skin, gastrointestinal tract, breast and thyroid.",1,1,"MONDO:0014047"
3609,"Cowden syndrome 6",,"A form of Cowden syndrome, a hamartomatous polyposis syndrome with age-related penetrance. Cowden syndrome is characterized by hamartomatous lesions affecting derivatives of ectodermal, mesodermal and endodermal layers, macrocephaly, facial trichilemmomas (benign tumors of the hair follicle infundibulum), acral keratoses, papillomatous papules, and elevated risk for development of several types of malignancy, particularly breast carcinoma in women and thyroid carcinoma in both men and women. Colon cancer and renal cell carcinoma have also been reported. Hamartomas can be found in virtually every organ, but most commonly in the skin, gastrointestinal tract, breast and thyroid.",1,1,"MONDO:0014048"
3610,"Cowden syndrome 7",,"A form of Cowden syndrome, a hamartomatous polyposis syndrome with age-related penetrance. Cowden syndrome is characterized by hamartomatous lesions affecting derivatives of ectodermal, mesodermal and endodermal layers, macrocephaly, facial trichilemmomas (benign tumors of the hair follicle infundibulum), acral keratoses, papillomatous papules, and elevated risk for development of several types of malignancy, particularly breast carcinoma in women and thyroid carcinoma in both men and women. Colon cancer and renal cell carcinoma have also been reported. Hamartomas can be found in virtually every organ, but most commonly in the skin, gastrointestinal tract, breast and thyroid. CWS7 inheritance is autosomal dominant.",1,1,"MONDO:0014802"
3611,"COWDEN-LIKE SYNDROME (disorder)",,,6,6,
3612,"Coxiella burnetii Infection",,,5,5,
3613,"coxopodopatellar syndrome",,"An autosomal dominant bone disease characterized by patellar aplasia or hypoplasia and by anomalies of the pelvis and feet, including disrupted ossification of the ischia and inferior pubic rami.",1,1,"MONDO:0007841"
3614,"Coxsackievirus Infections",,,6,6,
3615,"cranio-osteoarthropathy",,,1,1,"MONDO:0015466"
3616,"Craniocerebral Trauma",,,1,1,
3617,"Craniocervical Injuries",,,2,2,
3618,"craniodiaphyseal dysplasia","An osteosclerosis that results_in increased calcium concentration located_in skull which decreases the size of cranium foramina and cervical spinal canal.",,1,1,"MONDO:0009031"
3619,"craniodiaphyseal dysplasia, autosomal dominant",,"A severe bone dysplasia characterized by massive generalized hyperostosis and sclerosis, especially involving the skull and facial bones. The sclerosis is so severe that the resulting facial distortion is referred to as 'leontiasis ossea' (leonine faces) and the bone deposition results in progressive stenosis of craniofacial foramina. Respiratory obstruction due to choanal stenosis compromises the clinical outcomes of affected patients.",1,1,"MONDO:0021021"
3620,"CRANIODIAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT (disorder)",,,1,1,
3621,"cranioectodermal dysplasia","An autosomal recessive disease that is characterized by microcephaly, bradydactyly, hypodontia, renal failure, cardiac defects, liver fibrosis and other gross physical abnormalities and has_material_basis_in mutations in genes that control intraflagellar transport, IFT122, IFT43 or IFT121.",,6,6,"MONDO:0009032"
3622,"cranioectodermal dysplasia 1",,"A disorder characterized by craniofacial, skeletal and ectodermal abnormalities. Clinical features include dolichocephaly (with or without sagittal suture synostosis), scaphocephaly, short stature, limb shortening, short ribs, narrow chest, brachydactyly, renal failure and hepatic fibrosis, small and abnormally shaped teeth, sparse hair, skin laxity and abnormal nails.",1,1,"MONDO:0021093"
3623,"cranioectodermal dysplasia 2",,"A disorder characterized by craniofacial, skeletal and ectodermal abnormalities. Clinical features include short stature, dolichocephaly, craniosynostosis, narrow thorax with pectus excavatum, short limbs, brachydactyly, joint laxity, narrow palpebral fissures, telecanthus with hypertelorism, low-set simple ears, everted lower lip, and short neck. Teeth abnormalities include widely spaced, hypoplastic and fused teeth.",1,1,"MONDO:0013323"
3624,"cranioectodermal dysplasia 3",,"A disorder primarily characterized by craniofacial, skeletal and ectodermal abnormalities. Clinical features include craniosynostosis, narrow rib cage, short limbs, brachydactyly, hypoplastic and widely spaced teeth, sparse hair, skin laxity and abnormal nails. Nephronophthisis leading to progressive renal failure, hepatic fibrosis, heart defects, and retinitis pigmentosa have also been described.",1,1,"MONDO:0013573"
3625,"cranioectodermal dysplasia 4",,"A disorder primarily characterized by craniofacial, skeletal and ectodermal abnormalities. Clinical features include craniosynostosis, narrow rib cage, short limbs, brachydactyly, hypoplastic and widely spaced teeth, sparse hair, skin laxity and abnormal nails. Nephronophthisis leading to progressive renal failure, hepatic fibrosis, heart defects, and retinitis pigmentosa have also been described.",1,1,"MONDO:0013719"
3626,"Craniofacial Abnormalities",,,153,153,
3627,"craniofacial anomalies and anterior segment dysgenesis syndrome",,"A disorder with extremely variable expressivity. Clinical features include wide interpupillary distance, abnormal corneal endothelium, unusual pinnae, partially to completely empty sella turcica, posterior fossa cyst, anterior encephalocele, and/or hydrocephalus.",1,1,"MONDO:0013618"
3628,"Craniofacial deafness hand syndrome",,,1,1,
3629,"Craniofacial Dysostosis",,,1,1,
3630,"Craniofacial dysostosis type 1",,,2,2,
3631,"craniofacial dysplasia - osteopenia syndrome",,"A syndrome characterized by severe hypertelorism, upslanting palpebral fissures, brachycephaly, abnormal ears, sloping shoulders, enamel hypoplasia, and osteopenia with repeated fractures. Additional features include myopia, mild to moderate sensorineural hearing loss, gonadal anomalies and borderline intelligence.",1,1,"MONDO:0012634"
3632,"craniofacial dysplasia-short stature-ectodermal anomalies-intellectual disability syndrome",,"An autosomal recessive syndrome characterized by intellectual disability, short stature, and craniofacial and ectodermal anomalies including scaphocephaly with or without craniosynostosis, prominent forehead, sparse eyebrows and hair, hypoplastic toenails and, in some cases, dental anomalies.",1,1,"MONDO:0014824"
3633,"Craniofacial ulnar renal syndrome",,,3,3,
3634,"craniofacial-deafness-hand syndrome",,"Thought to be an autosomal dominant disease which comprises absence or hypoplasia of the nasal bones, hypoplastic maxilla, small and short nose with thin nares, limited movement of the wrist, short palpebral fissures, ulnar deviation of the fingers, hypertelorism and profound sensory-neural deafness.",1,1,"MONDO:0007395"
3635,"craniofrontonasal syndrome","A X-linked dominant disease that has_material_basis_in mutation in the EFNB1 gene on chromosome Xq13 and is characterized in hemizygous males by hypertelorism and with greater severity in females by frontonasal dysplasia, craniofacial asymmetry, craniosynostosis, bifid nasal tip, grooved nails, wiry hair, and abnormalities of the thoracic skeleton.","X-linked inherited syndrome characterized by hypertelorism, coronal synostosis with brachycephaly, downslanting palpebral fissures, clefting of the nasal tip, joint anomalies, longitudinally grooved fingernails and other digital anomalies.",1,1,"MONDO:0010570"
3636,"craniolenticulosutural dysplasia","An autosomal recessive disorder in neonates that is characterized by facial dysmorphism, late-closing fontanels, cataract, and skeletal defects. It has_material_basis_in the mutation of the SEC23A gene on the 14th chromosome, with the underproduction in the collagen secreting pathway and distension of endoplasmic reticulum leading to bone defects.","Autosomal recessive syndrome characterized by late-closing fontanels, sutural cataracts, facial dysmorphisms and skeletal defects.",3,3,"MONDO:0011911"
3637,"craniometaphyseal dysplasia","An osteosclerosis that has_material_basis_in mutations in the ANKH gene which results_in progressive thickening located_in skull and abnormally shaped ends of long bones in the limbs.",,3,2,"MONDO:0015465"
3638,"craniometaphyseal dysplasia, autosomal dominant",,"An osteochondrodysplasia characterized by hyperostosis and sclerosis of the craniofacial bones associated with abnormal modeling of the metaphyses. Sclerosis of the skull may lead to asymmetry of the mandible, as well as to cranial nerve compression, that may finally result in hearing loss and facial palsy.",1,1,"MONDO:0007397"
3639,"craniometaphyseal dysplasia, autosomal recessive",,"An osteochondrodysplasia characterized by hyperostosis and sclerosis of the craniofacial bones associated with abnormal modeling of the metaphyses. Sclerosis of the skull may lead to asymmetry of the mandible, as well as to cranial nerve compression, that may finally result in hearing loss and facial palsy.",1,1,"MONDO:0009035"
3640,"Craniometaphyseal dysplasia, autosomal recessive type",,,1,1,
3641,"CRANIOOSTEOARTHROPATHY",,,2,2,
3642,"craniopharyngioma",,,2,2,"MONDO:0018907"
3643,"Craniopharyngioma, Child",,,2,2,
3644,"craniorachischisis",,,29,29,"MONDO:0018969"
3645,"Cranioschisis",,,10,10,
3646,"craniosynostosis","A synostosis that results_in premature fusion located_in skull.",,85,78,"MONDO:0015469"
3647,"craniosynostosis 2",,"A primary abnormality of skull growth involving premature fusion of one or more cranial sutures. The growth velocity of the skull often cannot match that of the developing brain resulting in an abnormal head shape and, in some cases, increased intracranial pressure, which must be treated promptly to avoid permanent neurodevelopmental disability. CRS2 is characterized by either fronto-orbital recession, or frontal bossing, or turribrachycephaly, or cloverleaf skull. Associated features include severe headache, high incidence of visual problems (myopia or hyperopia), and short first metatarsals. Intelligence is normal.",1,1,"MONDO:0011481"
3648,"craniosynostosis 4",,"A primary abnormality of skull growth involving premature fusion of one or more cranial sutures. The growth velocity of the skull often cannot match that of the developing brain resulting in an abnormal head shape and, in some cases, increased intracranial pressure, which must be treated promptly to avoid permanent neurodevelopmental disability.",1,1,"MONDO:0010929"
3649,"craniosynostosis 5, susceptibility to",,"A primary abnormality of skull growth involving premature fusion of one or more cranial sutures. The growth velocity of the skull often cannot match that of the developing brain resulting in an abnormal head shape and, in some cases, increased intracranial pressure, which must be treated promptly to avoid permanent neurodevelopmental disability.",1,1,"MONDO:0014232"
3650,"craniosynostosis 6",,"A form of craniosynostosis, a primary abnormality of skull growth involving premature fusion of one or more cranial sutures. The growth velocity of the skull often cannot match that of the developing brain resulting in an abnormal head shape and, in some cases, increased intracranial pressure, which must be treated promptly to avoid permanent neurodevelopmental disability.",1,1,"MONDO:0014705"
3651,"craniosynostosis 7",,"A form of craniosynostosis, a primary abnormality of skull growth involving premature fusion of one or more cranial sutures. The growth velocity of the skull often cannot match that of the developing brain resulting in an abnormal head shape and, in some cases, increased intracranial pressure, which must be treated promptly to avoid permanent neurodevelopmental disability.",1,1,"MONDO:0044315"
3652,"craniosynostosis and dental anomalies",,"A disorder characterized by craniosynostosis, maxillary hypoplasia, and dental anomalies, including malocclusion, delayed and ectopic tooth eruption, and/or supernumerary teeth. Some patients also display minor digit anomalies, such as syndactyly and/or clinodactyly.",1,1,"MONDO:0013615"
3653,"Craniosynostosis, Type 2",,,1,1,
3654,"Craving for alcohol",,,3,3,
3655,"Creatine deficiency, X-linked",,,1,1,
3656,"Creatine phosphokinase serum increased",,,1,1,
3657,"creatine phosphokinase, elevated serum",,"Characterized by persistent elevated levels of serum creatine kinase without muscle weakness.",1,1,"MONDO:0007402"
3658,"creatine transporter deficiency","A cerebral creatine deficiency syndrome that is characterized by mental retardation, severe speech delay, behavioral abnormalities and seizures, has_material_basis_in mutation in the SLC6A8 gene on chromosome Xq28.","An X-linked disorder of creatine transport characterized by mental retardation, severe speech delay, behavioral abnormalities, and seizures. Carrier females may show mild neuropsychologic impairment.",3,3,"MONDO:0010305"
3659,"Crescendo Transient Ischemic Attacks",,,10,10,
3660,"CREST syndrome","A syndrome characterized by calcinosis, Raynaud's phenomeno, esophageal dysmotility, sclerodactyly and telangiectasia.",,19,19,"MONDO:0019563"
3661,"Creutzfeldt Jacob disease",,,36,36,"MONDO:0005357"
3662,"Creutzfeldt-Jakob disease",,,11,11,
3663,"Creutzfeldt-Jakob Disease, Familial",,,11,11,
3664,"Creutzfeldt-Jakob Disease, Heidenhain Variant",,,2,2,
3665,"Creutzfeldt-Jakob Disease, Sporadic",,,2,2,
3666,"Cri-du-chat syndrome",,,3,3,"MONDO:0007404"
3667,"cribriform carcinoma",,,115,115,"MONDO:0006176"
3668,"cribriform carcinoma of breast","A breast carcinoma that is characterized by an irregular cribriform growth pattern, nuclear grade I in at least 90% of cells, and absent myoepithelial cells.",,115,115,"MONDO:0045059"
3669,"Crigler-Najjar syndrome","A bilirubin metabolic disorder that involves a build up of bilirubin as bilirubin is not being broken down as a result of a lack or deficiency of the enzyme uridine diphosphate glycosyltransferase (UGT).",,9,9,"MONDO:0009044"
3670,"Crigler-Najjar syndrome type 1",,"Patients have severe hyperbilirubinemia and usually die of kernicterus (bilirubin accumulation in the basal ganglia and brainstem nuclei) within the first year of life. CN1 inheritance is autosomal recessive.",1,1,"MONDO:0021020"
3671,"Crigler-Najjar syndrome type 2",,"Patients have less severe hyperbilirubinemia and usually survive into adulthood without neurologic damage. Phenobarbital, which induces the partially deficient glucuronyl transferase, can diminish the jaundice. CN2 inheritance is autosomal dominant.",2,2,"MONDO:0011725"
3672,"Crisponi syndrome",,,3,3,
3673,"Critical Illness",,,2,2,
3674,"critical illness polyneuropathy",,,3,3,"MONDO:0001957"
3675,"Crohn disease","An intestinal disease that involves inflammation located_in intestine.",,1581,1572,"MONDO:0005011"
3676,"CROHN DISEASE-ASSOCIATED GROWTH FAILURE, SUSCEPTIBILITY TO (finding)",,,1,1,
3677,"Crohn ileitis","An inflammatory bowel disease characterized by inflammation located_in ileum, has_symptom diarrhea, has_symptom abdominal pain, often in the right lower quadrant, has_symptom weight loss.",,67,11,"MONDO:0000709"
3678,"Crohn's colitis","An inflammatory bowel disease characterized by inflammation located_in colon only, has_symptom diarrhea, has_symptom rectal bleeding, has_symptom skin lesions and has_symptom formation of ulcers, fistulas and abscesses around the anus.",,56,56,"MONDO:0005532"
3679,"Crohn's disease in remission",,,1,1,
3680,"Crohn's disease of large bowel",,,56,56,
3681,"Crohn's disease of the ileum",,,56,56,
3682,"Cronkhite-Canada syndrome",,,1,1,"MONDO:0008283"
3683,"Crouzon syndrome","A craniosynostosis that involves premature fusion of certain skull bones. This early fusion prevents the skull from growing normally and affects the shape of the head and face. The disease is associated with mutations in the FGFR2 gene.","An autosomal dominant syndrome characterized by craniosynostosis, hypertelorism, exophthalmos and external strabismus, parrot-beaked nose, short upper lip, hypoplastic maxilla, and a relative mandibular prognathism.",2,2,"MONDO:0007405"
3684,"CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS (disorder)",,,1,1,
3685,"Crouzon syndrome-acanthosis nigricans syndrome","An autosomal dominant disease characterized by Crouzon-like features, premature synostosis of cranial sutures, and acanthosis nigricans that has_material_basis_in heterozygous missense mutation in the FGFR3 gene on chromosome 4p16.","Classic Crouzon disease which is caused by mutations in the FGFR2 gene is characterized by craniosynostosis (premature fusion of the skull sutures), and facial hypoplasia. Crouzon syndrome with acanthosis nigricans (a skin disorder characterized by pigmentation anomalies), CAN, is considered to be an independent disorder from classic Crouzon syndrome. CAN is characterized by additional more severe physical manifestation, such as Chiari malformation, hydrocephalus, and atresia or stenosis of the choanas, and is caused by a specific mutation (Ala-391 to Glu) in the transmembrane domain of FGFR3. It is proposed to have an autosomal dominant mode of inheritance.",1,1,"MONDO:0012833"
3686,"Crushing Skull Injury",,,1,1,
3687,"Cruveilhier-Baumgarten Syndrome",,,4,4,
3688,"cryohydrocytosis",,"An autosomal dominant disorder of red cell membrane permeability characterized by cold-induced changes in cell volume, resulting in cold-sensitive stomatocytosis, and increased erythrocyte osmotic fragility and autohemolysis at 4 degrees Celsius. Patients present with mild to moderate hemolytic anemia, splenomegaly, fatigue, and pseudohyperkalemia due to a potassium leak from the erythrocytes.",3,3,"MONDO:0008494"
3689,"Cryopyrin associated periodic syndrome",,,5,5,
3690,"cryopyrin-associated periodic syndrome",,,7,4,"MONDO:0016168"
3691,"cryptococcosis","An opportunistic mycosis that results_in fungal infection and has_material_basis_in Cryptococcus neoformans or Cryptococcus gattii.",,1,1,"MONDO:0005724"
3692,"Cryptogenic Chronic Hepatitis",,,22,22,
3693,"Cryptogenic Infantile Spasms",,,6,6,
3694,"cryptogenic multifocal ulcerous stenosing enteritis",,,1,1,"MONDO:0018765"
3695,"Cryptogenic Partial Complex Epilepsy",,,1,1,
3696,"Cryptogenic Tonic-Clonic Epilepsy",,,10,10,
3697,"cryptophthalmia",,,5,3,"MONDO:0020153"
3698,"Cryptophthalmos",,,3,3,
3699,"cryptorchidism",,"One of the most frequent congenital abnormalities in humans, involving 2-5% of male births. Cryptorchidism is associated with increased risk of infertility and testicular cancer.",13,13,"MONDO:0009047"
3700,"cryptosporidiosis-chronic cholangitis-liver disease syndrome",,"An autosomal recessive primary immunodeficiency characterized by B- and T-cell defects and variable dysfunction of NK cells. Patients tend to have normal numbers of lymphocytes, but show defective class-switched B-cells, low IgG, defective antibody response, and defective T-cell responses to certain antigens.",1,1,"MONDO:0014082"
3701,"Curare Overdose",,,1,1,
3702,"Curling Ulcer",,,6,6,
3703,"Currarino triad",,"The triad of a presacral tumor, sacral agenesis and anorectal malformation constitutes the Currarino syndrome which is caused by dorsal-ventral patterning defects during embryonic development. The syndrome occurs in the majority of patients as an autosomal dominant trait.",11,11,"MONDO:0008305"
3704,"curry-Jones syndrome",,"A multisystem disorder characterized by patchy skin lesions, polysyndactyly, diverse cerebral malformations, unicoronal craniosynostosis, iris colobomas, microphthalmia, and intestinal malrotation with myofibromas or hamartomas.",1,1,"MONDO:0011134"
3705,"Curvature of spine",,,1,1,
3706,"Cushing disease due to pituitary adenoma","A functioning pituitary adenoma that characterized by excess cortisol a primary cause of Cushing's syndrome.","A form of pituitary adenoma, a neoplasm of the pituitary gland and one of the most common neuroendocrine tumors. Pituitary adenomas are clinically classified as functional and non-functional tumors, and manifest with a variety of features, including local invasion of surrounding structures and excessive hormone secretion. Functional pituitary adenomas are further classified by the type of hormone they secrete. PITA4 results in excessive production of adrenocorticotropic hormone. This leads to hypersecretion of cortisol by the adrenal glands and ACTH-dependent Cushing syndrome. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes.",11,11,"MONDO:0009050"
3707,"Cushing syndrome",,,20,14,"MONDO:0018912"
3708,"Cushing syndrome due to macronodular adrenal hyperplasia",,,6,6,"MONDO:0009049"
3709,"CUSHING SYNDROME, ACTH-INDEPENDENT ADRENAL, SOMATIC",,,1,1,
3710,"Cushing's syndrome",,,1,1,
3711,"cutaneous fibrous histiocytoma",,,1,1,"MONDO:0006717"
3712,"cutaneous leishmaniasis","A leishmaniasis that involves skin infection caused by Leishmania species, resulting in one or more cutaneous lesions.",,8,8,"MONDO:0005446"
3713,"cutaneous lupus erythematosus","A lupus erythematosus that causes skin lesions on parts of the body that are exposed to sunlight.",,1165,1158,"MONDO:0005282"
3714,"cutaneous melanoma","A skin cancer that has_material_basis_in melanocytes.",,403,403,"MONDO:0005012"
3715,"cutaneous neuroendocrine carcinoma",,,2,2,"MONDO:0019210"
3716,"cutaneous porphyria",,"Porphyrias are inherited defects in the biosynthesis of heme, resulting in the accumulation and increased excretion of porphyrins or porphyrin precursors. They are classified as erythropoietic or hepatic, depending on whether the enzyme deficiency occurs in red blood cells or in the liver. The manifestations of CEP are heterogeneous, ranging from nonimmune hydrops fetalis due to severe hemolytic anemia in utero to milder, later onset forms, which have only skin lesions due to cutaneous photosensitivity in adult life. The deficiency in UROS activity results in the non-enzymatic conversion of hydroxymethylbilane (HMB) into the uroporphyrinogen-I isomer.",4,4,"MONDO:0009902"
3717,"cutaneous solitary mastocytoma",,,1,1,"MONDO:0002726"
3718,"cutis laxa","A skin disease characterized by loose, hanging, wrinkled skin lacking in elasticity.",,16,13,"MONDO:0016175"
3719,"cutis laxa with severe pulmonary, gastrointestinal and urinary anomalies","A autosomal recessive cutis laxa type I that has_material_basis_in homozygous or compound heterozygous mutation in the LTBP4 gene on chromosome 19q13.","A syndrome characterized by disrupted pulmonary, gastrointestinal, urinary, musculoskeletal, craniofacial and dermal development. Clinical features include cutis laxa, mild cardiovascular lesions, respiratory distress with cystic and atelectatic changes in the lungs, and diverticulosis, tortuosity and stenosis at various levels of the intestinal tract. Craniofacial features include microretrognathia, flat midface, receding forehead and wide fontanelles.",1,1,"MONDO:0013170"
3720,"cutis laxa, autosomal dominant 1",,"A connective tissue disorder characterized by loose, hyperextensible skin with decreased resilience and elasticity leading to a premature aged appearance. Face, hands, feet, joints, and torso may be differentially affected. Additional variable clinical features are gastrointestinal diverticula, hernia, and genital prolapse. Rare manifestations are pulmonary artery stenosis, aortic aneurysm, bronchiectasis, and emphysema.",2,2,"MONDO:0007411"
3721,"cutis laxa, autosomal dominant 2",,"A connective tissue disorder characterized by loose, hyperextensible skin with decreased resilience and elasticity leading to a premature aged appearance. Face, hands, feet, joints, and torso may be differentially affected. Additional variable clinical features are gastrointestinal diverticula, hernia, and genital prolapse. Rare manifestations are pulmonary artery stenosis, aortic aneurysm, bronchiectasis, and emphysema.",1,1,"MONDO:0013751"
3722,"cutis laxa, autosomal dominant 3",,"A form of cutis laxa, a connective tissue disorder characterized by loose, hyperextensible skin with decreased resilience and elasticity leading to a premature aged appearance. Face, hands, feet, joints, and torso may be differentially affected. Additional variable clinical features are gastrointestinal diverticula, hernia, and genital prolapse. Rare manifestations are pulmonary artery stenosis, aortic aneurysm, bronchiectasis, and emphysema. ADCL3 patients manifest thin skin with visible veins and wrinkles, cataract or corneal clouding, moderate intellectual disability, muscular hypotonia with brisk muscle reflexes, clenched fingers, and pre- and postnatal growth retardation.",1,1,"MONDO:0014706"
3723,"Cutis laxa, autosomal recessive",,,1,1,
3724,"cutis laxa, autosomal recessive, type 1A","An autosomal recessive cutis laxa type I that has_material_basis_in homozygous or compound heterozygous mutation in the FBLN5 gene on chromosome 14q32.","A connective tissue disorder characterized by loose, hyperextensible skin with decreased resilience and elasticity leading to a premature aged appearance. Face, hands, feet, joints, and torso may be differentially affected. The clinical spectrum of autosomal recessive cutis laxa is highly heterogeneous with respect to organ involvement and severity. Type I autosomal recessive cutis laxa is a specific, life-threatening disorder with organ involvement, lung atelectasis and emphysema, diverticula of the gastrointestinal and genitourinary systems, and vascular anomalies. Associated cranial anomalies, late closure of the fontanel, joint laxity, hip dislocation, and inguinal hernia have been observed but are uncommon.",3,3,"MONDO:0009052"
3725,"cutis laxa, autosomal recessive, type 1B","An autosomal recessive cutis laxa type I characterized by disturbed elastic fiber formation resulting in severe systemic connective tissue abnormalities that has material basis in homozygous or compound heterozygous mutation in the EFEMP2 gene on chromosome 11q13.","A connective tissue disorder characterized by loose, hyperextensible skin with decreased resilience and elasticity leading to a premature aged appearance. Face, hands, feet, joints, and torso may be differentially affected. The clinical spectrum of autosomal recessive cutis laxa is highly heterogeneous with respect to organ involvement and severity. ARCL1B features include emphysema, lethal pulmonary artery occlusion, aortic aneurysm, cardiopulmonary insufficiency, birth fractures, arachnodactyly, and fragility of blood vessels.",1,1,"MONDO:0013754"
3726,"Cutis Laxa, Autosomal Recessive, Type I",,,2,2,
3727,"Cutis Laxa, Autosomal Recessive, Type IIA",,,3,3,
3728,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIC",,,3,3,
3729,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IID",,,3,3,
3730,"Cutis laxa, recessive",,,1,1,
3731,"Cutis laxa, recessive, type I",,,2,2,
3732,"Cutis laxa, x-linked",,,1,1,
3733,"Cyanosis",,,4,4,
3734,"cyanosis, transient neonatal",,"A disorder characterized by cyanosis in the fetus and neonate, due to a defect in the fetal hemoglobin chain which has reduced affinity for oxygen. Some patients develop anemia resulting from increased destruction of red cells containing abnormal or unstable hemoglobin. The cyanosis resolves spontaneously by 5 to 6 months of age or earlier, as the adult beta-globin chain is produced and replaces the fetal gamma-globin chain.",1,1,"MONDO:0013511"
3735,"Cyclic Hematopoesis",,,1,1,
3736,"cyclic hematopoiesis",,"Autosomal dominant disease in which blood-cell production from the bone marrow oscillates with 21-day periodicity. Circulating neutrophils vary between almost normal numbers and zero. During intervals of neutropenia, affected individuals are at risk for opportunistic infection. Monocytes, platelets, lymphocytes and reticulocytes also cycle with the same frequency.",2,2,"MONDO:0008090"
3737,"Cyclic neutropenia",,,1,1,
3738,"Cyclitis",,,5,5,
3739,"cycloplegia",,,2,2,"MONDO:0005555"
3740,"Cyst",,,2,2,
3741,"cystadenoma","An adenoma that forms a cyst.",,2,2,"MONDO:0002369"
3742,"cystathioninuria","An amino acid metabolic disorder characterized by elevated plasma and urinary cystathionine levels that has_material_basis_in homozygous or compound heterozygous mutation in the CTH gene on chromosome 1p31.","Autosomal recessive phenotype characterized by abnormal accumulation of plasma cystathionine, leading to increased urinary excretion.",1,1,"MONDO:0009058"
3743,"Cystic Aponeurosis Tumor",,,1,1,
3744,"cystic fibrosis","An autosomal recessive disease that is characterized by the buildup of thick, sticky mucus that can damage many organs.","A common generalized disorder of the exocrine glands which impairs clearance of secretions in a variety of organs. It is characterized by the triad of chronic bronchopulmonary disease (with recurrent respiratory infections), pancreatic insufficiency (which leads to malabsorption and growth retardation) and elevated sweat electrolytes. It is the most common genetic disease in Caucasians, with a prevalence of about 1 in 2'000 live births. Inheritance is autosomal recessive.",1842,1842,"MONDO:0009061"
3745,"CYSTIC FIBROSIS MODIFIER 1",,,3,3,
3746,"Cystic fibrosis of the lung",,,2,2,
3747,"CYSTIC FIBROSIS, MODIFIER OF, 1",,,3,3,
3748,"cystic kidney disease",,,79,6,"MONDO:0002473"
3749,"Cystic Kidney Disease with Ventriculomegaly",,,1,1,
3750,"Cystic Kidney Diseases",,,61,61,
3751,"cystic leukoencephalopathy without megalencephaly",,"An infantile-onset syndrome of cerebral leukoencephalopathy. Affected newborns develop microcephaly and neurologic abnormalities including psychomotor impairment, seizures and sensorineural hearing impairment. The brain shows multifocal white matter lesions, anterior temporal lobe subcortical cysts, pericystic abnormal myelination, ventriculomegaly and intracranial calcifications.",2,2,"MONDO:0013058"
3752,"cystinosis","A lysosomal storage disease characterized by the abnormal accumulation of cystine in the lysosomes. It follows an autosomal recessive inheritance pattern and has material basis in mutations in the CTNS gene, located on chromosome 17.",,1,1,"MONDO:0016239"
3753,"CYSTINOSIS, ATYPICAL NEPHROPATHIC (disorder)",,,1,1,
3754,"Cystinosis, Infantile Nephropathic",,,1,1,
