drugName,cIds,drugNameOfficial,molecularWeight,smilesString
Sepantronium bromide,CIDs11178236,#N/A,0,#N/A
BIBR-1532,CIDs09927531,BIBR1532,331.36458,CC(=CC(=O)NC1=CC=CC=C1C(=O)O)C2=CC3=CC=CC=C3C=C2
ITX3,CIDs01362865,ITX-3,371.45488,CC1=CC(=C(N1C2=CC=CC=C2)C)C=C3C(=O)N4C5=CC=CC=C5N=C4S3
Salinomycin,CIDs03085092,salinomycin,750.9986,CCC(C1CCC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C(=O)O
Efavirenz,CIDs00064139,efavirenz,315.67497,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F
Ivachtin,CIDs11201705,Ivachtin,447.46164,CC1=C2C(=C3C=C(C=CC3=N1)S(=O)(=O)N4CCOCC4)C(=O)N(C2=O)CCOC(=O)C
PAC-1,CIDs135421197,#N/A,0,#N/A
Necrostatin-1,CIDs02828334,necrostatin-1,259.32682,CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32
NCGC00262398,CIDs70789547,SMR003523925,483.99032,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)Cl)C(=O)NC3=NC(=CS3)C4=CC=CC=C4
Tiplasinin,CIDs06450819,tiplaxtinin,439.38335,C1=CC=C(C=C1)CN2C=C(C3=C2C=CC(=C3)C4=CC=C(C=C4)OC(F)(F)F)C(=O)C(=O)O
ASR-isobudimer-SO2Ph-4-CH2OC(O)NMe2,CIDs57519524,NCGC00263265-01,832.0514,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)CC(CC5C(C6CCC(C7C68C(O5)OC(CC7)(OO8)C)C)C)C[S+](=O)(C9=CC=C(C=C9)COC(=O)N(C)C)[O-])C
BTM-2C-dimer ketone,CIDs72188603,SCHEMBL15911832,576.71812,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)CC(=O)C5C(C6CCC(C7C68C(O5)OC(CC7)(OO8)C)C)C)C
BTM-2C-dimer allyl oxime,CIDs138403274,#N/A,0,#N/A
Etoposide,CIDs00036462,etoposide,588.55658,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
Paclitaxel,CIDs00036314,paclitaxel,853.90614,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
Cytarabine,CIDs00006253,#N/A,0,#N/A
Mitomycin C,CIDs00005746,mitomycin C,334.32722,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N
Raltitrexed,CIDs135400182,#N/A,0,#N/A
Methotrexate,CIDs00126941,methotrexate,454.43928,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
Pralatrexate,CIDs00148121,pralatrexate,477.47262,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
Trimetrexate,CIDs00005583,#N/A,0,#N/A
Pyrimethamine,CIDs00004993,pyrimethamine,248.71142,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
Aminopterin,CIDs00169371,#N/A,0,#N/A
Proscillaridin,CIDs05284613,proscillaridin A,530.64968,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O
Cytisine,CIDs00010235,cytisine,190.24166,C1C2CNCC1C3=CC=CC(=O)N3C2
Prazosin hydrochloride,CIDs00068546,#N/A,0,#N/A
Ciclopirox,CIDs00002749,ciclopirox,207.26888,CC1=CC(=O)N(C(=C1)C2CCCCC2)O
Cyanein,CIDs05287620,brefeldin A,280.35936,CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O
Mefloquine,CIDs00040692,mefloquine,378.312159,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
Cantharidin,CIDs00005944,cantharidin,196.19988,CC12C3CCC(C1(C(=O)OC2=O)C)O3
Chloroxine,CIDs00002722,halquinol,214.0481,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1
Auranofin,CIDs06918453,auranofin,678.483891,CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+]
Thapsigargin,CIDs00446378,thapsigargin,650.7536,CCCCCCCC(=O)OC1C2C(=C(C1OC(=O)C(=CC)C)C)C3C(C(CC2(C)OC(=O)C)OC(=O)CCC)(C(C(=O)O3)(C)O)O
Parthenolide,CIDs07251185,V0355,248.3175,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C
Chloroquine,CIDs00002719,chloroquine,319.87214,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
Prochlorperazine,CIDs00004917,prochlorperazine,373.94266,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
Paeonol,CIDs00011092,paeonol,166.1739,CC(=O)C1=C(C=C(C=C1)OC)O
Marizomib,CIDs11347535,salinosporamide A,313.7766,CC12C(C(=O)NC1(C(=O)O2)C(C3CCCC=C3)O)CCCl
Mebendazole,CIDs00004030,mebendazole,295.29272,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3
Fingolimod hydrochloride,CIDs00107969,fingolimod,343.93176,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N.Cl
GSK-J4,CIDs71729974,GSK-J4,453.96442,CCOC(=O)CCNC1=NC(=NC(=C1)N2CCC3=CC=CC=C3CC2)C4=CC=CC=N4.Cl
Oridonin,CIDs05321010,rubescensin,364.43272,CC1(CCC(C23C1C(C(C45C2CCC(C4O)C(=C)C5=O)(OC3)O)O)O)C
BMS-754807,CIDs24785538,BMS-754807,461.494763,CC1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F
Dinaciclib (SCH727965),CIDs46926350,dinaciclib,396.48602,CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCCC4CCO
PF-04691502,CIDs25033539,PF-04691502,425.48088,CC1=C2C=C(C(=O)N(C2=NC(=N1)N)C3CCC(CC3)OCCO)C4=CN=C(C=C4)OC
Fostamatinib,CIDs11671467,fostamatinib,580.459505,CC1(C(=O)N(C2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)COP(=O)(O)O)C
Birinapant,CIDs49836020,birinapant,806.940846,CCC(C(=O)N1CC(CC1CC2=C(NC3=C2C=CC(=C3)F)C4=C(C5=C(N4)C=C(C=C5)F)CC6CC(CN6C(=O)C(CC)NC(=O)C(C)NC)O)O)NC(=O)C(C)NC
Raloxifene hydrochloride,CIDs00054900,#N/A,0,#N/A
Niclosamide,CIDs00004477,niclosamide,327.11962,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
Aloe-emodin,CIDs00010207,aloe-emodin,270.2369,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2=O)CO)O
Amygdalin,CIDs00656516,amygdalin,457.42848,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O
Betulinic acid,CIDs00064971,betulinic acid,456.70032,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O
Emricasan,CIDs12000240,Emricasan,569.502093,CC(C(=O)NC(CC(=O)O)C(=O)COC1=C(C(=CC(=C1F)F)F)F)NC(=O)C(=O)NC2=CC=CC=C2C(C)(C)C
VX-765,CIDs11398092,belnacasan,508.99502,CCOC1C(CC(=O)O1)NC(=O)C2CCCN2C(=O)C(C(C)(C)C)NC(=O)C3=CC(=C(C=C3)N)Cl
Pralnacasan,CIDs00153270,pralnacasan,523.53776,CCOC1C(CC(=O)O1)NC(=O)C2CCCN3N2C(=O)C(CCC3=O)NC(=O)C4=NC=CC5=CC=CC=C54
CA-074 Me,CIDs06610318,AC1O7M24,397.46594,CCCNC(=O)C1C(O1)C(=O)NC(C(C)CC)C(=O)N2CCCC2C(=O)OC
Odanacatib,CIDs10152654,odanacatib,525.558793,CC(C)(CC(C(=O)NC1(CC1)C#N)NC(C2=CC=C(C=C2)C3=CC=C(C=C3)S(=O)(=O)C)C(F)(F)F)F
CAA-0225,CIDs50909779,CAA0225,487.54696,C1=CC=C(C=C1)CC(C(=O)NCC2=CC=CC=C2)NC(=O)C3C(O3)C(=O)NCCC4=CC=C(C=C4)O
Cathepsin S Inhibitor,CIDs16760355,cathepsin S inhibitor,424.48952,CC(C)CC(C(=O)C=O)NC(=O)C(CC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2
VBY-825,CIDs70945511,SCHEMBL13584968,535.552073,CCC(C(=O)C(=O)NC1CC1)NC(=O)C(CS(=O)(=O)CC2CC2)NC(C3=CC=C(C=C3)F)C(F)(F)F
Olmesartan,CIDs00158781,olmesartan,446.50164,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O
M-024,CIDs09804984,AGN-PC-0MTT0W,475.62406,CCCCOC(=O)NS(=O)(=O)C1=C(C=C(S1)CC(C)C)C2=CC=C(C=C2)CN3C=CN=C3
Enalapril maleate,CIDs05388961,enalapril,492.51888,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O.C(=CC(=O)O)C(=O)O
Perindopril,CIDs00107807,perindopril,368.46778,CCCC(C(=O)OCC)NC(C)C(=O)N1C2CCCCC2CC1C(=O)O
Benazepril,CIDs05362124,#N/A,0,#N/A
Ramipril,CIDs05362129,ramipril,416.51058,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O
Temocapril hydrochloride,CIDs00443873,temocapril HCl,513.06976,CCOC(=O)C(CCC1=CC=CC=C1)NC2CSC(CN(C2=O)CC(=O)O)C3=CC=CS3.Cl
Episilvestrol,CIDs11467934,episilvestrol,654.65772,COC1C(OC(CO1)C(CO)O)OC2=CC(=C3C(=C2)OC4(C3(C(C(C4C5=CC=CC=C5)C(=O)OC)O)O)C6=CC=C(C=C6)OC)OC
BAM-7,CIDs05754137,BAM-7,405.47286,CCOC1=CC=CC=C1NN=C2C(=NN(C2=O)C3=NC(=CS3)C4=CC=CC=C4)C
HA-14-1,CIDs06604880,HA-14-1,409.23128,CCOC(=O)C1=C(OC2=C(C1C(C#N)C(=O)OCC)C=C(C=C2)Br)N
BCL6 Inhibitor,CIDs03800971,#N/A,0,#N/A
WEHI-539,CIDs71297207,WEHI-539,583.72366,C1CC2=C(C=C(C=C2)C3=NC(=C(S3)CCCOC4=CC=C(C=C4)CN)C(=O)O)C(=NNC5=NC6=CC=CC=C6S5)C1
Venetoclax (ABT-199),CIDs49846579,venetoclax,868.4392,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C
ABT-737,CIDs11228183,ABT-737,813.4269,CN(C)CCC(CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
S63845,CIDs122197581,#N/A,0,#N/A
A-1210477,CIDs66575373,AGN-PC-0H120Y,850.0366,CC1=NN(C(=C1C2=CC=CC3=C2N(C(=C3CCCOC4=CC=CC5=CC=CC=C54)C(=O)O)CCN6CCOCC6)COC7=CC=C(C=C7)N8CCN(CC8)S(=O)(=O)N(C)C)C
VU0661013,CIDs134828256,#N/A,0,#N/A
NCGC00378588,CIDs17754765,W-5579,734.75416,CCOC1=C(C=CC(=C1)C(C)(C)C)C2=NC(C(N2C(=O)N3CCN(CC3)CC(=O)N4CCOCC4)(C)C5=CC=C(C=C5)Cl)(C)C6=CC=C(C=C6)Cl
RITA,CIDs00374536,RITA (NSC652287,292.37328,C1=C(SC(=C1)C2=CC=C(O2)C3=CC=C(S3)CO)CO
AMG-232,CIDs58573469,AMG-232,568.5522,CC(C)C(CS(=O)(=O)C(C)C)N1C(C(CC(C1=O)(C)CC(=O)O)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl
MX-69,CIDs04075607,AC1N2QTC,474.57134,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC(C4C3C=CC4)C5=CC=C(C=C5)C(=O)O)C
Milademetan,CIDs73297272,SCHEMBL13276036,618.526463,CC1(CCC2(CC1)C3(C(C(N2)C(=O)NC4CCC(OC4)C(=O)N)C5=C(C(=NC=C5)Cl)F)C6=C(C=C(C=C6)Cl)NC3=O)C
MI-773 (SAR405838),CIDs53476877,MI-77301,562.502963,CC(C)(C)CC1C2(C(C(N1)C(=O)NC3CCC(CC3)O)C4=C(C(=CC=C4)Cl)F)C5=C(C=C(C=C5)Cl)NC2=O
CGM-097,CIDs53240420,CGM-097,659.25718,CC(C)OC1=C(C=C2CC(=O)N(C(C2=C1)C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)N(C)CC5CCC(CC5)N6CCN(C(=O)C6)C)OC
Idasanutlin,CIDs53358942,RG7388,616.482466,CC(C)(C)CC1C(C(C(N1)C(=O)NC2=C(C=C(C=C2)C(=O)O)OC)C3=C(C(=CC=C3)Cl)F)(C#N)C4=C(C=C(C=C4)Cl)F
NSC-207895,CIDs00042640,NSC-207895,279.25202,CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-]
RO8994,CIDs53238217,CHEMBL3109036,613.506643,CC(C)(C)CC1C2(C(C(N1)C(=O)NC3=C(C=C(C=C3)C(=O)N)OC)C4=C(C(=CC=C4)Cl)F)C5=C(C=C(C=C5)Cl)NC2=O
CUDC-427,CIDs71600094,CUDC-427,564.69894,CC(C(=O)NC(C1CCCCC1)C(=O)N2CCCC2C(=O)NC3=C(N=C(S3)C4=NC=CO4)C5=CC=CC=C5)NC
LCL-161,CIDs24737642,LCL161,500.628623,CC(C(=O)NC(C1CCCCC1)C(=O)N2CCCC2C3=NC(=CS3)C(=O)C4=CC=C(C=C4)F)NC
GDC-0152,CIDs46940575,GDC-0152,498.64086,CC(C(=O)NC(C1CCCCC1)C(=O)N2CCCC2C(=O)NC3=C(N=NS3)C4=CC=CC=C4)NC
Embelin,CIDs00003218,embelin,294.38594,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O
AT-IAP,CIDs70980530,SCHEMBL15811909,509.658603,CC1CN(C(CN1)CN2CCOCC2C)CC(=O)N3CC(C4=C3C=C(C=N4)CC5=CC=C(C=C5)F)(C)C
Compound 36,CIDs124037381,#N/A,0,#N/A
AT-406,CIDs25022339,AT-406,598.17586,CC(C)CC(=O)N1CCC2CCC(N2C(=O)C(C1)NC(=O)C(C)NC)C(=O)NC(C3=CC=CC=C3)C4=CC=CC=C4.Cl
R-Etodolac,CIDs00667528,R-etodolac,287.35354,CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O
Necrostatin 2,CIDs11288934,Necrostatin 2,277.70628,CN1C(=O)C(NC1=O)CC2=CNC3=C2C=CC=C3Cl
AIM-100,CIDs11501591,AIM-100,371.43174,C1CC(OC1)CNC2=C3C(=C(OC3=NC=N2)C4=CC=CC=C4)C5=CC=CC=C5
PRP003-032,CIDs25263033,AGN-PC-050UK2,561.693403,CC1=C(C(=CC=C1)C)NC2=NN(C3=NC(=NC=C23)NC4=CC(=C(C=C4)OCCN5CCCC5)F)CCC(C)(C)OC
D-942,CIDs16760291,AMPK activator,368.398143,C1=CC(=CC=C1CCCC2=CC=C(O2)C(=O)O)OCCC3=CC=C(C=C3)F
Imeglimin,CIDs24812808,imeglimin,155.20092,CC1N=C(NC(=N1)N(C)C)N
S-99,CIDs59437537,X5890,364.32511,CC(C)NC1=CC(=CC2=NC(=NN12)NC(=O)C3=CN=CC=C3)C(F)(F)F
AKT Inhibitor VIII,CIDs135398501,#N/A,0,#N/A
Akt-I-1,CIDs10271028,Akt-l-1,378.5138,CC(C)(CNC1=NN2C(=NN=C2C3=CC=CC=C3)C=C1C4CCC4)CN(C)C
Merck-22-6,CIDs10240275,CTK5B2993,653.81512,CCN(CC)CCNC(=O)C1=CC2=C(C=C1)N=C(C(=N2)C3=CC=C(C=C3)CN4CCC(CC4)N5C6=CC=CC=C6NC5=O)C7=CC=CC=C7
M2698,CIDs89808643,SCHEMBL15262358,449.85667,C1CN(C1)CC(C2=CC(=C(C=C2)Cl)C(F)(F)F)NC3=NC=NC4=C3C=CC=C4C(=O)N
AZD-26,CIDs56953649,AGN-PC-0BKZG3,343.42164,C1CC(C1)(C2=CC=C(C=C2)C3=NC=C(C=C3C4=CC=CC=C4)C(=O)N)N
"Akt-I-1,2",CIDs09819282,#N/A,0,#N/A
AT-7867,CIDs11175137,AT7867,337.8459,C1CNCCC1(C2=CC=C(C=C2)C3=CNN=C3)C4=CC=C(C=C4)Cl
A-443654,CIDs10172943,A-443654,397.47232,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CNC5=CC=CC=C54)N
Ipatasertib,CIDs24788740,GDC-0068,457.99618,CC1CC(C2=C1C(=NC=N2)N3CCN(CC3)C(=O)C(CNC(C)C)C4=CC=C(C=C4)Cl)O
GSK2141795,CIDs51042438,uprosertib,429.248046,CN1C(=C(C=N1)Cl)C2=C(OC(=C2)C(=O)NC(CC3=CC(=C(C=C3)F)F)CN)Cl
Triciribine,CIDs00065399,triciribine,320.30394,CN1C2=NC=NC3=C2C(=CN3C4C(C(C(O4)CO)O)O)C(=N1)N
H-89,CIDs00449241,H-89 dihydrochloride,446.3607,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNCC=CC3=CC=C(C=C3)Br
BAY-1125976,CIDs70817911,AGN-PC-0J36CX,383.44574,C1CC(C1)(C2=CC=C(C=C2)C3=C(N4C(=N3)C=CC(=N4)C(=O)N)C5=CC=CC=C5)N
Miransertib,CIDs53262401,AGN-PC-0HD3LN,432.51966,C1CC(C1)(C2=CC=C(C=C2)N3C4=C(C=CC(=N4)C5=CC=CC=C5)N=C3C6=C(N=CC=C6)N)N
AZD-5363,CIDs25227436,AZD5363,428.9152,C1CN(CCC1(C(=O)NC(CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4
Triciribine phosphate,CIDs00043860,TCN-P,400.283842,CN1C2=NC=NC3=C2C(=CN3C4C(C(C(O4)COP(=O)(O)O)O)O)C(=N1)N
CCT-128930,CIDs17751819,CCT128930,341.8379,C1CN(CCC1(CC2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4
Afuresertib (GSK2110183),CIDs46843057,#N/A,0,#N/A
AT-13148,CIDs24905401,AT-13148,313.78144,C1=CC(=CC=C1C2=CNN=C2)C(CN)(C3=CC=C(C=C3)Cl)O
OTS-514,CIDs67447908,SCHEMBL2553276,364.4607,CC1=CC(=C(C2=C1NC(=O)C3=C2C=CS3)C4=CC=C(C=C4)C(C)CN)O
LXS-196,CIDs118873253,#N/A,0,#N/A
Ingenol mebutate,CIDs06918670,ingenol mebutate,430.53386,CC=C(C)C(=O)OC1C(=CC23C1(C(C(=CC(C2=O)C4C(C4(C)C)CC3C)CO)O)O)C
Englerin A,CIDs46242512,Englerin A,442.54456,CC1CCC2C1C(C3(CC(C2(O3)C)OC(=O)CO)C(C)C)OC(=O)C=CC4=CC=CC=C4
Go-6976,CIDs00003501,C24H20N4O,378.42592,CN1C2=CC=CC=C2C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CCC#N)CNC4=O
Go-6983,CIDs00003499,Go 6983,442.50964,CN(C)CCCN1C=C(C2=C1C=CC(=C2)OC)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
Ro-31-8425,CIDs00002404,bisindolylmaleimide X,424.49436,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C5CC(CCN5C6=CC=CC=C64)CN
MKC-1,CIDs05327686,MKC-1,400.38684,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=C4C=CC(=C5)[N+](=O)[O-])C
Endoxifen,CIDs10090750,endoxifen,373.48738,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCNC)C3=CC=CC=C3
ASP-3026,CIDs25134326,ASP3026,580.7447,CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC=NC(=N2)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC
Alectinib (CH5424802),CIDs49806720,alectinib,482.61656,CCC1=C(C=C2C(=C1)C(=O)C3=C(C2(C)C)NC4=C3C=CC(=C4)C#N)N5CCC(CC5)N6CCOCC6
Vactosertib,CIDs54766013,EW-7197,399.423623,CC1=CC=CC(=N1)C2=C(N=C(N2)CNC3=CC=CC=C3F)C4=CN5C(=NC=N5)C=C4
TPX-0005,CIDs135565923,#N/A,0,#N/A
AZD-3463,CIDs56599293,#N/A,0,#N/A
Belizatinib,CIDs57345941,4fod,577.732563,CC(C)NC(=O)C1CCC(CC1)N2C3=C(C=CC(=C3)CN4CCC(CC4)C(C)(C)O)N=C2NC(=O)C5=CC=C(C=C5)F
AP-26113,CIDs68165256,AGN-PC-0HUR20,584.092422,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC
Ceritinib,CIDs57379345,ceritinib,558.13514,CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl
KRCA-0008,CIDs72547474,KRCA-0008,609.11898,CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC(=NC=C3Cl)NC4=C(C=C(C=C4)N5CCN(CC5)C(=O)C)OC)OC
CEP-37440,CIDs71721647,CEP-37440,725.5342,CNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C4=C(CC(CCC4)N5CCN(CC5)CCO)C=C3)OC.O.O.Cl.Cl.Cl
Lorlatinib,CIDs71731823,MolPort-035-789-724,406.412963,CC1C2=C(C=CC(=C2)F)C(=O)N(CC3=NN(C(=C3C4=CC(=C(N=C4)N)O1)C#N)C)C
CEP28122,CIDs91827701,#N/A,0,#N/A
PF-06439015,CIDs138109165,#N/A,0,#N/A
LDN-214117,CIDs91754554,LDN-214117,419.51606,CC1=C(C=C(C=N1)C2=CC=C(C=C2)N3CCNCC3)C4=CC(=C(C(=C4)OC)OC)OC
Ensartinib,CIDs56960363,SCHEMBL15131489,561.435383,CC1CN(CC(N1)C)C(=O)C2=CC=C(C=C2)NC(=O)C3=NN=C(C(=C3)OC(C)C4=C(C=CC(=C4Cl)F)Cl)N
LDN-212854,CIDs60182388,LDN-212854,406.48238,C1CN(CCN1)C2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=C6C=CC=NC6=CC=C5)N=C3
ML-347,CIDs44577753,ML347,352.38864,COC1=CC=C(C=C1)C2=CN3C(=C(C=N3)C4=C5C=CC=NC5=CC=C4)N=C2
AZD-0156,CIDs118502708,#N/A,0,#N/A
Oligomycin A,CIDs05281899,oligomycin A,791.06246,CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C
NU-6027,CIDs00398148,Nu6027,251.28498,C1CCC(CC1)COC2=NC(=NC(=C2N=O)N)N
VE-821,CIDs51000408,VE-821,368.40964,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C(=O)NC3=CC=CC=C3)N
BAY-1895344,CIDs118869362,#N/A,0,#N/A
Berzosertib,CIDs59472121,VE-822,463.552,CC(C)S(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C3=CC(=NO3)C4=CC=C(C=C4)CNC)N
AZD-6738,CIDs54761306,SCHEMBL9979340,412.50856,CC1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=N)(=O)C)C4=C5C=CNC5=NC=C4
Selonsertib,CIDs71245288,AGN-PC-0JIBUS,445.492063,CC1=C(C=C(C(=C1)F)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C)N4C=C(N=C4)C5CC5
Aurora A Inhibitor I,CIDs44139710,Aurora A inhibitor I,588.074943,CCN1CCN(CC1)C(=O)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5Cl)F
MK-5108,CIDs24748204,MK-5108,461.936843,C1CC(CCC1OC2=C(C(=CC=C2)Cl)F)(CC3=NC(=CC=C3)NC4=NC=CS4)C(=O)O
CCT-129202,CIDs16202152,CCT129202,497.0156,CN(C)C1=CC=C(C=C1)C2=NC3=NC=C(C(=C3N2)N4CCN(CC4)CC(=O)NC5=NC=CS5)Cl
Hesperadin,CIDs10142586,Hesperadin,516.65438,CCS(=O)(=O)NC1=CC2=C(C=C1)NC(=O)C2=C(C3=CC=CC=C3)NC4=CC=C(C=C4)CN5CCCCC5
BI-847325,CIDs135567102,#N/A,0,#N/A
PF-03814735,CIDs51346455,W-5656,474.47881,CC(=O)NCC(=O)N1C2CCC1C3=C2C=CC(=C3)NC4=NC=C(C(=N4)NC5CCC5)C(F)(F)F
MLN-8054,CIDs11712649,MLN8054,476.862006,C1C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)C(=N1)C4=C(C=CC=C4F)F)NC5=CC=C(C=C5)C(=O)O
ZM-447439,CIDs09914412,ZM-447439,513.58754,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5
AT-9283,CIDs11496628,AT-9283,477.53728,CS(=O)(=O)O.C1CC1NC(=O)NC2=CNNC2=C3N=C4C=CC(=CC4=N3)CN5CCOCC5
TAK-901,CIDs16124208,TAK-901,504.64368,CCS(=O)(=O)C1=CC=CC(=C1)C2=CC(=C(C3=C2C4=CC(=CN=C4N3)C)C)C(=O)NC5CCN(CC5)C
PHA-680632,CIDs11249084,PHA-680632,501.6232,CCC1=C(C(=CC=C1)CC)NC(=O)N2CC3=C(C2)NN=C3NC(=O)C4=CC=C(C=C4)N5CCN(CC5)C
CCT-137690,CIDs25154041,CCT137690,551.48134,CC1=CC(=NO1)CN2CCN(CC2)C3=C4C(=NC=C3Br)N=C(N4)C5=CC=C(C=C5)N6CCN(CC6)C
GSK-1070916A,CIDs46885626,GSK1070916A,507.62932,CCN1C=C(C(=N1)C2=CC=C(C=C2)NC(=O)N(C)C)C3=C4C=C(NC4=NC=C3)C5=CC(=CC=C5)CN(C)C
