BiomarkerID	Biomarker_Name	Diseasename	ICD11	ICD10	ICD9
BM001406	Electrical impedance myography	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM001513	FetuinaA	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM003020	I2aglycoprotein	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM001807	ILa2, ILa6, ILa10, ILa15, GMaCSF	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002185	ILa8	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002186	ILa8	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002053	Magnetic resonance spectroscopy	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002187	monocyte chemoattractant proteina1 (MCPa1)	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002191	Motor unit number estimation	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002270	Neurophysiological index	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM001022	S100I	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002999	Voxel-based morphometry	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM000675	4-Hydroxy-2	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM000752	Afamin (AFM)	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM000778	Amyloid-beta 1-42	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM000815	Anti-neural antibodies against asialo-GM1- gangliosides	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM000816	Anti-neural antibodies against asialo-GM1- gangliosides	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM000817	Anti-neural antibodies against sulfatides	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM000767	Aspartate	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM001163	Complement C3	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM001164	Complement factors C4	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM001581	Glutamate	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM001583	Glutathione	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM001585	Glutathione peroxidase	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM000768	Glycine	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM001752	IgG	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM001935	iron	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002058	Markers of the neuroprotection	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002168	MMP-9 metalloproteinase	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002255	Neopterin	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002293	Nitrate	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002496	Peroxynitrite	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002515	Pigment epithelium-derived factor	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002665	S100b	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002775	Tau protein	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002844	Total protein	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002877	Transglutaminases activity (TGases)	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002927	Uric acid	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM002937	Vascular endothelial growth factor (VEGF)	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM000674	3-nonenal (HNE)	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM000681	8-hydroxy-2-deoxyguanosine (8-OHdG)	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM000709	Nicotinic acetylcholine receptor subunit alpha-1	Myasthenia gravis	ICD-11: 8C6Y	ICD-10: G70.0	ICD-9: 358
BM000710	Nicotinic acetylcholine receptor subunit alpha-1	Myasthenia gravis	ICD-11: 8C6Y	ICD-10: G70.0	ICD-9: 358
BM002690	Single-fiber EMG	Myasthenia gravis	ICD-11: 8C6Y	ICD-10: G70.0	ICD-9: 358
BM001694	Tumor necrosis factor receptor superfamily member 25 (TNFRSF25)	Myasthenia gravis	ICD-11: 8C6Y	ICD-10: G70.0	ICD-9: 358
BM001236	8-iso-prostaglandin F(2 alpha) isoprostane	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM001040	CD25+ T cells expressing FoxP3 and VPACR2	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM001041	CD4+	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM002301	CD8+ T cells	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM001181	Cortisol	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM001714	HPA axis dysfunction	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM002360	IL12	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM001985	lactate	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM002020	LPS induced pro-inflammatory cytokines under psychological stress	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM001838	LTI	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM002151	mitochondria	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM002190	most sensory receptors	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM002253	Natural killer (NK) cell function (NKCC)	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM002302	NK	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM002300	NK cell	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM002358	NYP	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM002362	NYP	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM002767	T cell	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM002992	Vitamin E	Myalgic encephalomyelitis	ICD-11: 8E49	ICD-10: G93	ICD-9: 780.71
BM000789	antibodies against human vimentin and humanglial fi- brillary acid protein (GFAP ), anti-Ro/SS-A (Sjogren syndrome A; also commonly called Ro antigens), serum an ti- bodies that bind to human optic nerve head proteoglycans, including chondroi tin sulfate and heparin, serum autoanti- bodies against gamma-enolase(y-enolase) in retinal ganglion cells of glaucomatous patients and glutathione S-transferas e (GST) antibodies	Glaucoma/ocular hypertension	ICD-11: 9C61	.	ICD-9: 365
BM002296	Bone morphogenetic proteins (BMP)	Glaucoma/ocular hypertension	ICD-11: 9C61	.	ICD-9: 365
BM001108	Citrate	Glaucoma/ocular hypertension	ICD-11: 9C61	.	ICD-9: 365
BM001322	Cytotoxicity	Glaucoma/ocular hypertension	ICD-11: 9C61	.	ICD-9: 365
BM002902	tubulin alpha-1A chain, SAPS domain family member 1, lim and SH3 domain protein 1, synaptosomalassociated protein 23, latent-transforming growth factor beta-bin ding protein, isoform lL, drebrin, proto-oncogene tyrosine-protein kinase Src, t hymosin beta-10, zinc fingerprotein 185, dynamin-1-like protein, protein phosph atase 1 regulatory subunit 12A, platelet endothelial cell adhesion molecule, tra nsgelin-2, AP-2 complex subunit sigma-1 and exportin-7	Glaucoma/ocular hypertension	ICD-11: 9C61	.	ICD-9: 365
BM000699	Alpha-1-antitrypsin	Dry eye disease	ICD-11: 9E1Z	.	ICD-9: 370.33
BM001165	Conjunctival cell proliferative capacity	Dry eye disease	ICD-11: 9E1Z	.	ICD-9: 370.33
BM000312	conjunctival cell viability	Dry eye disease	ICD-11: 9E1Z	.	ICD-9: 370.33
BM001166	Conjunctival cell viability	Dry eye disease	ICD-11: 9E1Z	.	ICD-9: 370.33
BM001167	Conjunctival intraepithelial CD19+ B cells	Dry eye disease	ICD-11: 9E1Z	.	ICD-9: 370.33
BM001168	Conjunctival intraepithelial CD3+ T cells	Dry eye disease	ICD-11: 9E1Z	.	ICD-9: 370.33
BM001169	Conjunctival intraepithelial T cells CD4/CD8 ratio	Dry eye disease	ICD-11: 9E1Z	.	ICD-9: 370.33
BM002106	Metalloproteinase-9	Dry eye disease	ICD-11: 9E1Z	.	ICD-9: 370.33
BM002213	Mucin 16	Dry eye disease	ICD-11: 9E1Z	.	ICD-9: 370.33
BM002364	OAHFA	Dry eye disease	ICD-11: 9E1Z	.	ICD-9: 370.33
BM002365	OAHFA	Dry eye disease	ICD-11: 9E1Z	.	ICD-9: 370.33
BM000313	proliferative capacity	Dry eye disease	ICD-11: 9E1Z	.	ICD-9: 370.33
BM002543	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 (PLCE1)	Hypertension	ICD-11: BA00-BA04	.	ICD-9: 401
BM000824	Apolipoprotein B receptor (APOBR)	Hypertension	ICD-11: BA00-BA04	.	ICD-9: 401
BM000235	BAT2	Hypertension	ICD-11: BA00-BA04	.	ICD-9: 401
BM000236	BAT5	Hypertension	ICD-11: BA00-BA04	.	ICD-9: 401
BM002312	C5orf23	Hypertension	ICD-11: BA00-BA04	.	ICD-9: 401
BM000371	FLJ32810	Hypertension	ICD-11: BA00-BA04	.	ICD-9: 401
BM001613	Guanine nucleotide binding protein (G protein), beta polypeptide 3 (GNB3)	Hypertension	ICD-11: BA00-BA04	.	ICD-9: 401
BM000381	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	Hypertension	ICD-11: BA00-BA04	.	ICD-9: 401
BM002313	Natriuretic peptide receptor	Hypertension	ICD-11: BA00-BA04	.	ICD-9: 401
BM000782	Recombinant human angiotensin converting enzyme 2	Hypertension	ICD-11: BA00-BA04	.	ICD-9: 401
BM000372	TMEM133	Hypertension	ICD-11: BA00-BA04	.	ICD-9: 401
BM000829	Apolipoprotein B receptor (APOBR)	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM001604	Growth differentiation factor 15 (GDF-15)	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM001720	HsTnI	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM001721	hsTnT	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM001520	Fibrinogen	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM002856	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM002858	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM002864	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM002866	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM001757	Interleukin-1 family member 10 (IL1F10)	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM002680	Lymphocyte adaptor protein LNK	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM002344	Nuclear factor of k light polypeptide gene enhancer in B-cells inhibitor	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM002549	Poly(A) binding protein	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM002603	P-selectin	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM002712	P-selectin	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM002336	NT-proBNP	Critically cardiac disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	ICD-9: 390-459
BM000002	high on-treatment platelet reactivity (P2Y12 reactivity unit [PRU] value of more than 234)	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM001044	CD40L	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM002120	microRNA	Acute coronary syndrome	ICD-11: BA41	.	.
BM001126	CK-MB	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM001127	Myoglobin	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM002536	Platelet count	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM002537	Platelet size	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM002538	Platelet turnover	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM002539	reticulated platelets	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM001468	estimated glomerular filtration rate	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM001597	GPBB	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM001605	growth differentiation factor 15 (GRF-15)	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM002234	Myoglobin	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM002331	N-terminal pro-B-type natriuretic peptide (NT-pro-BNP)	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM002602	P-selectin	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM002737	ST-2	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM001177	Copeptin (C-terminal pro-vasopressin)	Acute coronary syndrome	ICD-11: BA41	.	ICD-9: 411.1
BM001659	H-FABP	Acute myocardial infarction	ICD-11: BA41	.	ICD-9: 410
BM002131	MiR-1	Acute myocardial infarction	ICD-11: BA41	.	ICD-9: 410
BM002132	MiR-133a	Acute myocardial infarction	ICD-11: BA41	.	ICD-9: 410
BM002133	MiR-208a	Acute myocardial infarction	ICD-11: BA41	.	ICD-9: 410
BM002134	MiR-499-5p	Acute myocardial infarction	ICD-11: BA41	.	ICD-9: 410
BM002221	Mrp-14)	Acute myocardial infarction	ICD-11: BA41	.	ICD-9: 410
BM002222	Myeloid-related protein-14	Acute myocardial infarction	ICD-11: BA41	.	ICD-9: 410
BM002332	N-terminal pro-B-type natriuretic peptide (NT-pro-BNP)	Myocardial infarction	ICD-11: BA41-BA43	.	ICD-9: 410
BM002738	ST-2	Myocardial infarction	ICD-11: BA41-BA43	.	ICD-9: 410
BM001282	17 alpha-hydroxylase-C17, 20-lyase	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM000718	A disintegrin and metalloproteinase with thrombospondin motifs 7 (ADAMTS7)	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM000787	Ankyrin repeat and SAM domain-containing protein 1A (ANKS1A)	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM001051	CDKN2A-CDKN2B-ANRIL	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM002917	Gastric inhibitory polypeptide	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM002016	Lp(a)	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1	ICD-9: 414
BM002679	Lymphocyte adaptor protein LNK	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM002622	Phosphatidylethanolamine N-methyltransferase	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM002462	Proprotein convertase subtilisin/kexin type 9	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM002624	SMCR3	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM002112	Transport and Golgi organization protein 1 homolog (MIA3)	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM001190	Corus CAD	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM002916	ATP synthase F(0) complex subunit C1	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM001660	H-FABP	Pulmonary embolism	ICD-11: BB00	ICD-10: I26, I26.0	ICD-9: 415.1
BM000921	NT-proBNP	Pulmonary embolism	ICD-11: BB00	ICD-10: I26	ICD-9: 415.1
BM001658	H-FABP	Chronic thromboembolic pulmonary hypertension	ICD-11: BB01.3	.	ICD-9: 416
BM000919	NT-proBNP	Pulmonary arterial hypertension	ICD-11: BB01.0	.	ICD-9: 416
BM001504	FENO	Pulmonary arterial hypertension	ICD-11: BB01.0	.	ICD-9: 416
BM000250	N-terminal pro-brain natriuretic peptide (NT-pro-BNP)	Pulmonary hypertension	ICD-11: BB01	ICD-10: I27, I27.0	ICD-9: 416
BM001512	Fetuin-A	Calcific aortic valve stenosis	ICD-11: BB70.1	.	ICD-9: 424.1
BM001706	Homocysteine	Calcific aortic valve stenosis	ICD-11: BB70.1	.	ICD-9: 424.1
BM001996	Leptin	Calcific aortic valve stenosis	ICD-11: BB70.1	.	ICD-9: 424.1
BM002009	Lipid	Calcific aortic valve stenosis	ICD-11: BB70.1	.	ICD-9: 424.1
BM002335	NT-proBNP	Calcific aortic valve stenosis	ICD-11: BB70.1	.	ICD-9: 424.1
BM002379	Osteopontin	Calcific aortic valve stenosis	ICD-11: BB70.1	.	ICD-9: 424.1
BM001680	Troponin I, cardiac muscle	Acute heart failure	ICD-11: BD10-BD13	.	ICD-9: 428
BM002734	Interleukin-1 receptor-like 1 (IL1RL1)	Chronic heart failure	ICD-11: BD1Z	ICD-10: I50, I50.9	ICD-9: 428
BM000501	N-terminal Pro-BNP (NP)	Congestive heart failure	ICD-11: BD10	ICD-10: I50.0	ICD-9: 428
BM000753	Aldosterone	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000949	CA125	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM001256	C-terminal pro-endothelin-1	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002736	Interleukin-1 receptor-like 1 (IL1RL1)	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002243	KIM-1	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002019	Lp-PLA2	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002203	MR-proADM	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002206	MR-pro-ANP	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002192	Myeloperoxidase	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002244	NAG	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002281	NGAL	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002311	Norepinephrine	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002334	NT-pro-ANP	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002402	oxLDL antibodies	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002741	sTNFR1	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002742	sTNFR2	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000975	Troponin I, cardiac muscle	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000978	Troponin T, cardiac muscle isoforms	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002910	Type I collagen telopeptide	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000754	AlloMap	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002735	Interleukin-1 receptor-like 1 (IL1RL1)	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000397	Homocysteine	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000560	Interleukin-1 receptor-like 1 (IL1RL1)	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000561	Interleukin-1 receptor-like 1 (IL1RL1)	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000562	Interleukin-1 receptor-like 1 (IL1RL1)	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM001963	KIM-1	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002282	NGAL	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000502	N-terminal Pro-BNP (NP)	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000503	N-terminal Pro-BNP (NP)	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000504	N-terminal Pro-BNP (NP)	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000505	N-terminal Pro-BNP (NP)	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM001681	Troponin I, cardiac muscle	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM000909	BNP, sodium, copeptin	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM001178	copeptin; hsTN	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002246	Natriuretic peptide	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM002338	NT-proBNP, adrenomedullin, troponin, copeptin	Heart failure	ICD-11: BD10-BD13	ICD-10: I50, I50.9	ICD-9: 428
BM001682	Troponin I, cardiac muscle	Nonischemic congestive heart failure	ICD-11: BD1Z	ICD-10: I50, I50.9	ICD-9: 428
BM000730	ADMA	Arteriosclerosis	ICD-11: BD40	ICD-10: I70	.
BM001238	ADMA	Arteriosclerosis	ICD-11: BD40	ICD-10: I70	.
BM001121	Apolipoproteins	Arteriosclerosis	ICD-11: BD40	ICD-10: I70	.
BM001120	CK-MB	Arteriosclerosis	ICD-11: BD40	ICD-10: I70	.
BM001122	Myoglobin	Arteriosclerosis	ICD-11: BD40	ICD-10: I70	.
BM001123	Osteopontin	Arteriosclerosis	ICD-11: BD40	ICD-10: I70	.
BM000825	Apolipoprotein A (ApoA)	Atherosclerosis	ICD-11: BD40	ICD-10: I80-I82	.
BM000826	Apolipoprotein B receptor (APOBR)	Atherosclerosis	ICD-11: BD40	ICD-10: I80-I82	.
BM000827	Apolipoprotein B receptor (APOBR)	Atherosclerosis	ICD-11: BD40	ICD-10: I80-I82	.
BM000302	Cholesterol	Atherosclerosis	ICD-11: BD40	ICD-10: I80-I82	.
BM001214	Creatinine	Atherosclerosis	ICD-11: BD40	ICD-10: I80-I82	.
BM001518	Fibrinogen	Atherosclerosis	ICD-11: BD40	ICD-10: I80-I82	.
BM001519	Fibrinogen	Atherosclerosis	ICD-11: BD40	ICD-10: I80-I82	.
BM000976	Troponin I, cardiac muscle	Atherosclerosis	ICD-11: BD40	ICD-10: I80-I82	.
BM000977	Troponin T, cardiac muscle isoforms	Atherosclerosis	ICD-11: BD40	ICD-10: I80-I82	.
BM002924	Uric acid	Atherosclerosis	ICD-11: BD40	ICD-10: I80-I82	.
BM002991	Vitamin D	Atherosclerosis	ICD-11: BD40	ICD-10: I80-I82	.
BM001207	Apolipoproteins	Premature atherosclerosis	ICD-11: BD40	.	.
BM001209	Fibrinogen	Premature atherosclerosis	ICD-11: BD40	.	.
BM001210	Homocysteine	Premature atherosclerosis	ICD-11: BD40	.	.
BM001211	Interleukins	Premature atherosclerosis	ICD-11: BD40	.	.
BM002230	Myeloperoxidase	Premature atherosclerosis	ICD-11: BD40	.	.
BM000727	Adhesion molecule-1	Peripheral arterial disease	ICD-11: BD4Z	ICD-10: I73, I73.9	ICD-9: 443
BM002002	Leukocyte	Peripheral arterial disease	ICD-11: BD4Z	ICD-10: I73, I73.9	ICD-9: 443
BM002179	Tumor necrosis factor alpha	Peripheral arterial disease	ICD-11: BD4Z	ICD-10: I73, I73.9	ICD-9: 443
BM000661	Arachidonate 15-lipoxygenase B (ALOX15B)	Carotid artery atherosclerosis	ICD-11: BD55	.	.
BM001905	Inducible nitric oxide synthase (MIM 163730	Carotid artery atherosclerosis	ICD-11: BD55	.	.
BM001906	iNOS/NOS2A)	Carotid artery atherosclerosis	ICD-11: BD55	.	.
BM002226	Myeloperoxidase	Carotid artery atherosclerosis	ICD-11: BD55	.	.
BM002227	Myeloperoxidase	Carotid artery atherosclerosis	ICD-11: BD55	.	.
BM002381	OPN	Carotid artery atherosclerosis	ICD-11: BD55	.	.
BM002382	Osteopontin	Carotid artery atherosclerosis	ICD-11: BD55	.	.
BM002585	Prostacyclin synthase	Carotid artery atherosclerosis	ICD-11: BD55	.	.
BM002787	Coagulation factor IIa	Deep vein thrombosis	ICD-11: BD71	ICD-10: I82.4	ICD-9: 453.4
BM002788	Coagulation factor IIa	Deep vein thrombosis	ICD-11: BD71	ICD-10: I82.4	ICD-9: 453.4
BM001334	D-dimer	Deep vein thrombosis	ICD-11: BD71	ICD-10: I82.4	ICD-9: 453.4
BM001335	D-dimer	Deep vein thrombosis	ICD-11: BD71	ICD-10: I82.4	ICD-9: 453.4
BM001337	D-dimer	Deep vein thrombosis	ICD-11: BD71	ICD-10: I82.4	ICD-9: 453.4
BM001554	FVIII	Deep vein thrombosis	ICD-11: BD71	ICD-10: I82.4	ICD-9: 453.4
BM001907	Inflammatory cytokines	Deep vein thrombosis	ICD-11: BD71	ICD-10: I82.4	ICD-9: 453.4
BM001908	Inflammatory cytokines	Deep vein thrombosis	ICD-11: BD71	ICD-10: I82.4	ICD-9: 453.4
BM002000	Leukocyte	Deep vein thrombosis	ICD-11: BD71	ICD-10: I82.4	ICD-9: 453.4
BM002001	Leukocyte	Deep vein thrombosis	ICD-11: BD71	ICD-10: I82.4	ICD-9: 453.4
