DiseaseID	gene_symbol	hgnc_id	gene_url	DiseaseName	disease_url	mode_of_inheritance	dosage_haploinsufficiency_assertion	dosage_triplosensitivity_assertion	dosage_report	dosage_group	gene_disease_validity_assertion_classifications	gene_disease_validity_assertion_reports	gene_disease_validity_gceps	actionability_assertion_classifications	actionability_assertion_reports	actionability_groups
MONDO:0008438	SPAST	HGNC:11233	https://search.clinicalgenome.org/kb/genes/HGNC:11233	hereditary spastic paraplegia 4	https://search.clinicalgenome.org/kb/conditions/MONDO:0008438		3 - Sufficient Evidence for Haploinsufficiency (09/25/2019)	0 - No Evidence for Haploinsufficiency (09/25/2019)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:11233	Dosage Working Group						
MONDO:0008471	COL2A1	HGNC:2200	https://search.clinicalgenome.org/kb/genes/HGNC:2200	spondyloepiphyseal dysplasia congenita	https://search.clinicalgenome.org/kb/conditions/MONDO:0008471	Autosomal dominant inheritance	3 - Sufficient Evidence for Haploinsufficiency (07/29/2020)	0 - No Evidence for Haploinsufficiency (07/29/2020)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:2200	Dosage Working Group	definitive evidence (06/07/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0f217fba-a78c-4f9f-ad2a-301f0d53f046-2021-06-07T170000.000Z	Skeletal Disorders			
MONDO:0008473	TRPV4	HGNC:18083	https://search.clinicalgenome.org/kb/genes/HGNC:18083	spondyloepimetaphyseal dysplasia, Maroteaux type	https://search.clinicalgenome.org/kb/conditions/MONDO:0008473	Autosomal dominant inheritance					moderate evidence (05/19/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_17fcb720-754a-429a-b1f8-90db6d423a89-2021-05-19T160000.000Z	Skeletal Disorders			
MONDO:0008477	TRPV4	HGNC:18083	https://search.clinicalgenome.org/kb/genes/HGNC:18083	spondylometaphyseal dysplasia, Kozlowski type	https://search.clinicalgenome.org/kb/conditions/MONDO:0008477	Autosomal dominant inheritance					definitive evidence (06/07/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d93031fa-8ea5-465a-a903-6e7ae36a5faa-2021-06-07T160000.000Z	Skeletal Disorders			
MONDO:0008504	ELN	HGNC:3327	https://search.clinicalgenome.org/kb/genes/HGNC:3327	supravalvular aortic stenosis	https://search.clinicalgenome.org/kb/conditions/MONDO:0008504		3 - Sufficient Evidence for Haploinsufficiency (07/10/2012)	0 - No Evidence for Haploinsufficiency (07/10/2012)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3327	Dosage Working Group						
MONDO:0008513	HOXD13	HGNC:5136	https://search.clinicalgenome.org/kb/genes/HGNC:5136	synpolydactyly type 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0008513		3 - Sufficient Evidence for Haploinsufficiency (09/23/2020)	0 - No Evidence for Haploinsufficiency (09/23/2020)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:5136	Dosage Working Group						
MONDO:0008519	NOG	HGNC:7866	https://search.clinicalgenome.org/kb/genes/HGNC:7866	multiple synostoses syndrome 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0008519		3 - Sufficient Evidence for Haploinsufficiency (01/12/2021)	0 - No Evidence for Haploinsufficiency (01/12/2021)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:7866	Dosage Working Group						
MONDO:0008523	NOD2	HGNC:5331	https://search.clinicalgenome.org/kb/genes/HGNC:5331	Blau syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0008523	Autosomal dominant inheritance					definitive evidence (10/07/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1fd650d7-6a84-4b33-b86e-d34cab5b7d57-2020-10-07T171807.983Z	Syndromic Disorders			
MONDO:0008535	ENG	HGNC:3349	https://search.clinicalgenome.org/kb/genes/HGNC:3349	telangiectasia, hereditary hemorrhagic, type 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0008535		3 - Sufficient Evidence for Haploinsufficiency (12/08/2016)	0 - No Evidence for Haploinsufficiency (12/08/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3349	Dosage Working Group				Assertion Pending (12/07/2015)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC107	Adult Actionability Working Group
MONDO:0008546	FGFR3	HGNC:3690	https://search.clinicalgenome.org/kb/genes/HGNC:3690	thanatophoric dysplasia type 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0008546	Autosomal dominant inheritance	0 - No Evidence for Haploinsufficiency (11/09/2011)	0 - No Evidence for Haploinsufficiency (11/09/2011)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3690	Dosage Working Group	definitive evidence (12/23/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_db0459d9-c5cc-455d-a6b2-e6ea81511336-2021-12-23T221850.458Z	Skeletal Disorders			
MONDO:0008547	FGFR3	HGNC:3690	https://search.clinicalgenome.org/kb/genes/HGNC:3690	thanatophoric dysplasia type 2	https://search.clinicalgenome.org/kb/conditions/MONDO:0008547	Autosomal dominant inheritance	0 - No Evidence for Haploinsufficiency (11/09/2011)	0 - No Evidence for Haploinsufficiency (11/09/2011)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3690	Dosage Working Group	definitive evidence (01/31/2022)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1d5f870f-048e-4741-b5e0-2fcf70ed1b88-2022-01-31T170913.018Z	Skeletal Disorders			
MONDO:0008552	ITGA2B	HGNC:6138	https://search.clinicalgenome.org/kb/genes/HGNC:6138	platelet-type bleeding disorder 16	https://search.clinicalgenome.org/kb/conditions/MONDO:0008552	Autosomal dominant inheritance					moderate evidence (06/23/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_380c4fb9-aa51-4d34-9349-7938667612b7-2021-06-23T160000.000Z	Hemostasis Thrombosis			
MONDO:0008553	GFI1B	HGNC:4238	https://search.clinicalgenome.org/kb/genes/HGNC:4238	platelet-type bleeding disorder 17	https://search.clinicalgenome.org/kb/conditions/MONDO:0008553	Autosomal dominant inheritance					definitive evidence (11/27/2019)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_62841ea9-5bd8-4250-ab41-31d7cf82d2e3-2019-11-27T170000.000Z	Hemostasis Thrombosis			
MONDO:0008554	THPO	HGNC:11795	https://search.clinicalgenome.org/kb/genes/HGNC:11795	thrombocythemia 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0008554	Autosomal dominant inheritance					moderate evidence (03/23/2022)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e99d3899-efbe-4cb9-9170-748ea92892ce-2022-03-23T160000.000Z	Hemostasis Thrombosis			
MONDO:0008555	ANKRD26	HGNC:29186	https://search.clinicalgenome.org/kb/genes/HGNC:29186	thrombocytopenia 2	https://search.clinicalgenome.org/kb/conditions/MONDO:0008555	Autosomal dominant inheritance	0 - No Evidence for Haploinsufficiency (04/14/2021)	0 - No Evidence for Haploinsufficiency (04/14/2021)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:29186	Dosage Working Group	definitive evidence (09/25/2019)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e86bee2b-8353-48c2-8ea3-a6b2b26cdb2f-2019-09-25T160000.000Z	Hemostasis Thrombosis			
MONDO:0008559	F2	HGNC:3535	https://search.clinicalgenome.org/kb/genes/HGNC:3535	thrombophilia due to thrombin defect	https://search.clinicalgenome.org/kb/conditions/MONDO:0008559	Autosomal dominant inheritance					definitive evidence (06/24/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6389b3a3-ef86-4588-9be8-eb79dcb8d3cd-2020-06-24T160000.000Z	Hemostasis Thrombosis			
MONDO:0008560	F5	HGNC:3542	https://search.clinicalgenome.org/kb/genes/HGNC:3542	thrombophilia due to activated protein C resistance	https://search.clinicalgenome.org/kb/conditions/MONDO:0008560	Autosomal dominant inheritance	30 - Gene Associated with Autosomal Recessive Phenotype (01/11/2018)	0 - No Evidence for Haploinsufficiency (01/11/2018)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3542	Dosage Working Group	definitive evidence (09/30/2019)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ab28e09c-08ff-4149-a536-3cdb9cc4099f-2019-09-30T160000.000Z	Hemostasis Thrombosis	Assertion Pending (11/02/2015) | Assertion Pending (04/04/2016)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC106 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC105	Adult Actionability Working Group | Adult Actionability Working Group
MONDO:0008596	TRPS1	HGNC:12340	https://search.clinicalgenome.org/kb/genes/HGNC:12340	trichorhinophalangeal syndrome type I	https://search.clinicalgenome.org/kb/conditions/MONDO:0008596		3 - Sufficient Evidence for Haploinsufficiency (07/08/2020)	0 - No Evidence for Haploinsufficiency (07/08/2020)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:12340	Dosage Working Group						
MONDO:0008612	TSC1	HGNC:12362	https://search.clinicalgenome.org/kb/genes/HGNC:12362	tuberous sclerosis 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0008612		3 - Sufficient Evidence for Haploinsufficiency (10/13/2020)	0 - No Evidence for Haploinsufficiency (10/13/2020)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:12362	Dosage Working Group				Assertion Pending (07/21/2015)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC026	Adult Actionability Working Group
MONDO:0008644	TBX1	HGNC:11592	https://search.clinicalgenome.org/kb/genes/HGNC:11592	velocardiofacial syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0008644		2 - Emerging Evidence for Haploinsufficiency (04/12/2022)	0 - No Evidence for Haploinsufficiency (04/12/2022)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:11592	Dosage Working Group						
MONDO:0008647	MYH7	HGNC:7577	https://search.clinicalgenome.org/kb/genes/HGNC:7577	hypertrophic cardiomyopathy 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0008647		0 - No Evidence for Haploinsufficiency (11/16/2015)	0 - No Evidence for Haploinsufficiency (11/16/2015)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:7577	Dosage Working Group				Assertion Pending (08/14/2017)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC056	Adult Actionability Working Group
MONDO:0008660	FGF23	HGNC:3680	https://search.clinicalgenome.org/kb/genes/HGNC:3680	autosomal dominant hypophosphatemic rickets	https://search.clinicalgenome.org/kb/conditions/MONDO:0008660									Has Insufficient Evidence for Actionability Based on Early Rule-out (11/18/2021) | Limited Actionability (07/11/2018)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC010 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC010	Adult Actionability Working Group | Pediatric Actionability Working Group
MONDO:0008667	VHL	HGNC:12687	https://search.clinicalgenome.org/kb/genes/HGNC:12687	von Hippel-Lindau disease	https://search.clinicalgenome.org/kb/conditions/MONDO:0008667	Autosomal dominant inheritance	3 - Sufficient Evidence for Haploinsufficiency (06/28/2017)	0 - No Evidence for Haploinsufficiency (06/28/2017)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:12687	Dosage Working Group	definitive evidence (05/14/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_30c04ced-b74d-465a-8d7d-eb822109b7f1-2020-05-14T004116.004Z	Hereditary Cancer	Strong Actionability (01/04/2022) | Moderate Actionability (01/04/2022)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC027 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC027	Adult Actionability Working Group | Pediatric Actionability Working Group
MONDO:0008668	VWF	HGNC:12726	https://search.clinicalgenome.org/kb/genes/HGNC:12726	von Willebrand disease 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0008668									Assertion Pending (07/10/2017)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC144	Adult Actionability Working Group
MONDO:0008670	PAX3	HGNC:8617	https://search.clinicalgenome.org/kb/genes/HGNC:8617	Waardenburg syndrome type 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0008670		3 - Sufficient Evidence for Haploinsufficiency (05/27/2020)	0 - No Evidence for Haploinsufficiency (05/27/2020)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:8617	Dosage Working Group						
MONDO:0008671	MITF	HGNC:7105	https://search.clinicalgenome.org/kb/genes/HGNC:7105	Waardenburg syndrome type 2A	https://search.clinicalgenome.org/kb/conditions/MONDO:0008671		3 - Sufficient Evidence for Haploinsufficiency (04/13/2021)	0 - No Evidence for Haploinsufficiency (04/13/2021)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:7105	Dosage Working Group						
MONDO:0008679	WT1	HGNC:12796	https://search.clinicalgenome.org/kb/genes/HGNC:12796	Wilms tumor 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0008679	Autosomal dominant inheritance	3 - Sufficient Evidence for Haploinsufficiency (01/25/2022)	0 - No Evidence for Haploinsufficiency (01/25/2022)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:12796	Dosage Working Group	definitive evidence (07/30/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_65010002-ff97-4dc0-a89f-6c77abf0982a-2020-07-30T205501.047Z	Hereditary Cancer	Moderate Actionability (05/17/2018)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC003	Pediatric Actionability Working Group
MONDO:0008682	WT1	HGNC:12796	https://search.clinicalgenome.org/kb/genes/HGNC:12796	Denys-Drash syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0008682	Autosomal dominant inheritance	3 - Sufficient Evidence for Haploinsufficiency (01/25/2022)	0 - No Evidence for Haploinsufficiency (01/25/2022)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:12796	Dosage Working Group	definitive evidence (07/27/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cccc7a42-a49c-4a8d-8b9e-f16b81e9ee07-2021-07-27T210557.993Z	Hereditary Cancer			
MONDO:0008684	LETM1	HGNC:6556	https://search.clinicalgenome.org/kb/genes/HGNC:6556	Wolf-Hirschhorn syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0008684		0 - No Evidence for Haploinsufficiency (02/03/2012)	0 - No Evidence for Haploinsufficiency (02/03/2012)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:6556	Dosage Working Group						
MONDO:0008692	MTTP	HGNC:7467	https://search.clinicalgenome.org/kb/genes/HGNC:7467	abetalipoproteinemia	https://search.clinicalgenome.org/kb/conditions/MONDO:0008692		30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)	0 - No Evidence for Haploinsufficiency (08/22/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:7467	Dosage Working Group						
MONDO:0008695	VPS13A	HGNC:1908	https://search.clinicalgenome.org/kb/genes/HGNC:1908	chorea-acanthocytosis	https://search.clinicalgenome.org/kb/conditions/MONDO:0008695		30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)		https://search.clinicalgenome.org/kb/gene-dosage/HGNC:1908	Dosage Working Group						
MONDO:0008700	LMBR1	HGNC:13243	https://search.clinicalgenome.org/kb/genes/HGNC:13243	acheiropody	https://search.clinicalgenome.org/kb/conditions/MONDO:0008700		30 - Gene Associated with Autosomal Recessive Phenotype (10/18/2012)	0 - No Evidence for Haploinsufficiency (10/18/2012)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13243	Dosage Working Group						
MONDO:0008702	COL2A1	HGNC:2200	https://search.clinicalgenome.org/kb/genes/HGNC:2200	achondrogenesis type II	https://search.clinicalgenome.org/kb/conditions/MONDO:0008702	Autosomal dominant inheritance	3 - Sufficient Evidence for Haploinsufficiency (07/29/2020)	0 - No Evidence for Haploinsufficiency (07/29/2020)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:2200	Dosage Working Group	definitive evidence (10/05/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_14640c06-c66e-4dc7-86ea-9b0850e51474-2020-10-05T170000.000Z	Skeletal Disorders			
MONDO:0008708	KIF7	HGNC:30497	https://search.clinicalgenome.org/kb/genes/HGNC:30497	acrocallosal syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0008708		30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)	0 - No Evidence for Haploinsufficiency (08/22/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:30497	Dosage Working Group						
MONDO:0008710	RAB23	HGNC:14263	https://search.clinicalgenome.org/kb/genes/HGNC:14263	RAB23-related Carpenter syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0008710	Autosomal recessive inheritance					definitive evidence (04/22/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_46756b21-4bb5-4384-a42c-cf10c76e98c8-2021-04-22T160000.000Z	Craniofacial Malformations			
MONDO:0008713	SLC39A4	HGNC:17129	https://search.clinicalgenome.org/kb/genes/HGNC:17129	acrodermatitis enteropathica	https://search.clinicalgenome.org/kb/conditions/MONDO:0008713									Strong Actionability (07/09/2018)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC005	Pediatric Actionability Working Group
MONDO:0008721	ACADM	HGNC:89	https://search.clinicalgenome.org/kb/genes/HGNC:89	medium chain acyl-CoA dehydrogenase deficiency	https://search.clinicalgenome.org/kb/conditions/MONDO:0008721	Autosomal recessive inheritance	30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)	0 - No Evidence for Haploinsufficiency (08/22/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:89	Dosage Working Group	definitive evidence (01/23/2018)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fb987774-0e5b-4466-924f-6f19fccc6599-2018-01-23T170000.000Z	Fatty Acid Oxidation Disorders	Strong Actionability (08/03/2020)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1016	Pediatric Actionability Working Group
MONDO:0008722	ACADS	HGNC:90	https://search.clinicalgenome.org/kb/genes/HGNC:90	short chain acyl-CoA dehydrogenase deficiency	https://search.clinicalgenome.org/kb/conditions/MONDO:0008722	Autosomal recessive inheritance					definitive evidence (01/23/2018)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c6bc94e9-cdf2-4efb-b654-004541efc344-2018-01-23T170000.000Z	Fatty Acid Oxidation Disorders			
MONDO:0008723	ACADVL	HGNC:92	https://search.clinicalgenome.org/kb/genes/HGNC:92	very long chain acyl-CoA dehydrogenase deficiency	https://search.clinicalgenome.org/kb/conditions/MONDO:0008723	Autosomal recessive inheritance	30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)	0 - No Evidence for Haploinsufficiency (08/22/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:92	Dosage Working Group	definitive evidence (02/20/2018)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_130ca053-9f40-4fd5-b89c-b9b374694fda-2018-02-20T170000.000Z	Fatty Acid Oxidation Disorders	Assertion Pending (03/08/2017)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC126	Adult Actionability Working Group
MONDO:0008726	POR	HGNC:9208	https://search.clinicalgenome.org/kb/genes/HGNC:9208	Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis	https://search.clinicalgenome.org/kb/conditions/MONDO:0008726	Autosomal recessive inheritance	30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)		https://search.clinicalgenome.org/kb/gene-dosage/HGNC:9208	Dosage Working Group	definitive evidence (03/23/2022)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6275d46a-f005-45f8-b3ec-e9722f8dd39e-2022-03-23T193729.312Z	Craniofacial Malformations			
MONDO:0008728	CYP21A2	HGNC:2600	https://search.clinicalgenome.org/kb/genes/HGNC:2600	classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency	https://search.clinicalgenome.org/kb/conditions/MONDO:0008728		30 - Gene Associated with Autosomal Recessive Phenotype (07/06/2012)	0 - No Evidence for Haploinsufficiency (07/06/2012)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:2600	Dosage Working Group						
MONDO:0008746	OCA2	HGNC:8101	https://search.clinicalgenome.org/kb/genes/HGNC:8101	oculocutaneous albinism type 2	https://search.clinicalgenome.org/kb/conditions/MONDO:0008746	Autosomal recessive inheritance	30 - Gene Associated with Autosomal Recessive Phenotype (04/28/2012)	0 - No Evidence for Haploinsufficiency (04/28/2012)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:8101	Dosage Working Group	definitive evidence (08/25/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7433c1e2-a3a6-4351-88e0-cb3edcf39910-2021-08-25T160000.000Z	General Gene Curation			
MONDO:0008747	TYRP1	HGNC:12450	https://search.clinicalgenome.org/kb/genes/HGNC:12450	oculocutaneous albinism type 3	https://search.clinicalgenome.org/kb/conditions/MONDO:0008747		30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)		https://search.clinicalgenome.org/kb/gene-dosage/HGNC:12450	Dosage Working Group						
MONDO:0008748	HPS1	HGNC:5163	https://search.clinicalgenome.org/kb/genes/HGNC:5163	Hermansky-Pudlak syndrome 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0008748	Autosomal recessive inheritance	30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)		https://search.clinicalgenome.org/kb/gene-dosage/HGNC:5163	Dosage Working Group	definitive evidence (07/22/2019)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f6d44a89-527f-4864-a1e1-dcd0a17000ca-2019-07-22T142842.174Z	Hemostasis Thrombosis			
MONDO:0008753	HGD	HGNC:4892	https://search.clinicalgenome.org/kb/genes/HGNC:4892	alkaptonuria	https://search.clinicalgenome.org/kb/conditions/MONDO:0008753	Autosomal recessive inheritance					definitive evidence (06/29/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5186836d-d9c6-4829-a0c9-59548460d6f2-2020-06-29T174125.541Z	Aminoacidopathy	Moderate Actionability (10/03/2018)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC156	Adult Actionability Working Group
MONDO:0008760	ACAT1	HGNC:93	https://search.clinicalgenome.org/kb/genes/HGNC:93	beta-ketothiolase deficiency	https://search.clinicalgenome.org/kb/conditions/MONDO:0008760	Autosomal recessive inheritance					definitive evidence (05/22/2018)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_99bcab0a-de59-479d-8fe6-8b76cbce90ee-2018-05-22T160000.000Z	Fatty Acid Oxidation Disorders			
MONDO:0008762	COL4A3	HGNC:2204	https://search.clinicalgenome.org/kb/genes/HGNC:2204	autosomal recessive Alport syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0008762		30 - Gene Associated with Autosomal Recessive Phenotype (05/22/2013)	0 - No Evidence for Haploinsufficiency (05/22/2013)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:2204	Dosage Working Group						
MONDO:0008763	ALMS1	HGNC:428	https://search.clinicalgenome.org/kb/genes/HGNC:428	Alstrom syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0008763	Autosomal recessive inheritance	30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)	0 - No Evidence for Haploinsufficiency (08/22/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:428	Dosage Working Group	definitive evidence (02/10/2017)	https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_6238	Hearing Loss			
MONDO:0008765	RPE65	HGNC:10294	https://search.clinicalgenome.org/kb/genes/HGNC:10294	Leber congenital amaurosis 2	https://search.clinicalgenome.org/kb/conditions/MONDO:0008765									Strong Actionability (02/25/2019) | Moderate Actionability (02/25/2019)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC012 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC012	Adult Actionability Working Group | Pediatric Actionability Working Group
MONDO:0008767	CLN3	HGNC:2074	https://search.clinicalgenome.org/kb/genes/HGNC:2074	neuronal ceroid lipofuscinosis 3	https://search.clinicalgenome.org/kb/conditions/MONDO:0008767		30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)		https://search.clinicalgenome.org/kb/gene-dosage/HGNC:2074	Dosage Working Group						
MONDO:0008774	DHTKD1	HGNC:23537	https://search.clinicalgenome.org/kb/genes/HGNC:23537	2-aminoadipic 2-oxoadipic aciduria	https://search.clinicalgenome.org/kb/conditions/MONDO:0008774	Autosomal recessive inheritance					definitive evidence (11/03/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d6dd5de3-9819-432d-996c-12a66dff277f-2020-11-03T193815.515Z	Aminoacidopathy			
MONDO:0008777	TACSTD2	HGNC:11530	https://search.clinicalgenome.org/kb/genes/HGNC:11530	gelatinous drop-like corneal dystrophy	https://search.clinicalgenome.org/kb/conditions/MONDO:0008777		30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)	0 - No Evidence for Haploinsufficiency (08/22/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:11530	Dosage Working Group						
MONDO:0008788	TMPRSS6	HGNC:16517	https://search.clinicalgenome.org/kb/genes/HGNC:16517	IRIDA syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0008788		30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)	0 - No Evidence for Haploinsufficiency (08/22/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:16517	Dosage Working Group						
MONDO:0008795	ITPR1	HGNC:6180	https://search.clinicalgenome.org/kb/genes/HGNC:6180	aniridia-cerebellar ataxia-intellectual disability syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0008795	Autosomal dominant inheritance					definitive evidence (11/03/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a848b265-8aa3-41ee-83cc-9287afe0f9d0-2021-11-03T160000.000Z	Intellectual Disability and Autism			
MONDO:0008798	RSPO4	HGNC:16175	https://search.clinicalgenome.org/kb/genes/HGNC:16175	nonsyndromic congenital nail disorder 4	https://search.clinicalgenome.org/kb/conditions/MONDO:0008798		30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)		https://search.clinicalgenome.org/kb/gene-dosage/HGNC:16175	Dosage Working Group						
