"gene_symbol","hgnc_id","gene_url","disease_label","mondo_id","disease_url","mode_of_inheritance","dosage_haploinsufficiency_assertion","dosage_triplosensitivity_assertion","dosage_report","dosage_group","gene_disease_validity_assertion_classifications","gene_disease_validity_assertion_reports","gene_disease_validity_gceps","actionability_assertion_classifications","actionability_assertion_reports","actionability_groups"
"FANCF","HGNC:3587","https://search.clinicalgenome.org/kb/genes/HGNC:3587","Fanconi anemia complementation group F","MONDO:0011325","https://search.clinicalgenome.org/kb/conditions/MONDO:0011325","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Haploinsufficiency (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3587","Dosage Working Group","definitive evidence (02/03/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_60719ed8-36fa-4d11-93b2-8036133510a6-2021-02-03T225456.822Z","Hereditary Cancer","","",""
"FANCG","HGNC:3588","https://search.clinicalgenome.org/kb/genes/HGNC:3588","Fanconi anemia complementation group G","MONDO:0013565","https://search.clinicalgenome.org/kb/conditions/MONDO:0013565","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (11/15/2020)","0 - No Evidence for Haploinsufficiency (11/15/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3588","Dosage Working Group","definitive evidence (12/21/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1913bd10-1355-4067-93b6-9068924d77df-2018-12-21T151935.075Z","Hereditary Cancer","","",""
"FANCG","HGNC:3588","https://search.clinicalgenome.org/kb/genes/HGNC:3588","Fanconi anemia complementation group C","MONDO:0009213","https://search.clinicalgenome.org/kb/conditions/MONDO:0009213","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (11/15/2020)","0 - No Evidence for Haploinsufficiency (11/15/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3588","Dosage Working Group","","","","Moderate Actionability (10/28/2019) | Moderate Actionability (10/28/2019)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1008 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1008","Adult Actionability Working Group | Pediatric Actionability Working Group"
"FANCG","HGNC:3588","https://search.clinicalgenome.org/kb/genes/HGNC:3588","Fanconi anemia","MONDO:0019391","https://search.clinicalgenome.org/kb/conditions/MONDO:0019391","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (11/15/2020)","0 - No Evidence for Haploinsufficiency (11/15/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3588","Dosage Working Group","","","","Moderate Actionability (10/28/2019) | Moderate Actionability (10/28/2019)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1008 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1008","Adult Actionability Working Group | Pediatric Actionability Working Group"
"FANCI","HGNC:25568","https://search.clinicalgenome.org/kb/genes/HGNC:25568","Fanconi anemia complementation group I","MONDO:0012186","https://search.clinicalgenome.org/kb/conditions/MONDO:0012186","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:25568","Dosage Working Group","definitive evidence (06/15/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a103db2f-a8b3-403b-993a-ac4215c118df-2021-06-15T233841.081Z","Hereditary Cancer","","",""
"FANCL","HGNC:20748","https://search.clinicalgenome.org/kb/genes/HGNC:20748","Fanconi anemia complementation group L","MONDO:0013566","https://search.clinicalgenome.org/kb/conditions/MONDO:0013566","Autosomal recessive inheritance","","","","","definitive evidence (07/30/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_93d0cb5f-4859-4b28-b647-3f8226fe5921-2020-07-30T203845.671Z","Hereditary Cancer","","",""
"FAR1","HGNC:26222","https://search.clinicalgenome.org/kb/genes/HGNC:26222","fatty acyl-CoA reductase 1 deficiency","MONDO:0014510","https://search.clinicalgenome.org/kb/conditions/MONDO:0014510","Autosomal recessive inheritance","","","","","moderate evidence (04/15/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_91f6f864-5d07-4891-94b5-7f73bd71752c-2022-04-15T160000.000Z","Peroxisomal Disorders","","",""
"FAR1","HGNC:26222","https://search.clinicalgenome.org/kb/genes/HGNC:26222","fatty acyl-CoA reductase 1 dysregulation","MONDO:0100230","https://search.clinicalgenome.org/kb/conditions/MONDO:0100230","Autosomal dominant inheritance","","","","","moderate evidence (08/20/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1068b8e8-36a1-4110-9ab4-45f9d4ece894-2021-08-20T160000.000Z","Peroxisomal Disorders","","",""
"FARS2","HGNC:21062","https://search.clinicalgenome.org/kb/genes/HGNC:21062","Leigh syndrome","MONDO:0009723","https://search.clinicalgenome.org/kb/conditions/MONDO:0009723","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Haploinsufficiency (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21062","Dosage Working Group","moderate evidence (11/25/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2cf7594a-d934-4b6c-8052-94066d608c5a-2019-11-25T144756.827Z","Mitochondrial Diseases","","",""
"FAS","HGNC:11920","https://search.clinicalgenome.org/kb/genes/HGNC:11920","autoimmune lymphoproliferative syndrome","MONDO:0017979","https://search.clinicalgenome.org/kb/conditions/MONDO:0017979","N/A","1 - Little Evidence for Haploinsufficiency (02/08/2022)","0 - No Evidence for Haploinsufficiency (02/08/2022)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:11920","Dosage Working Group","","","","","",""
"FASLG","HGNC:11936","https://search.clinicalgenome.org/kb/genes/HGNC:11936","autoimmune lymphoproliferative syndrome type 1","MONDO:0011158","https://search.clinicalgenome.org/kb/conditions/MONDO:0011158","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/25/2016)","0 - No Evidence for Haploinsufficiency (08/25/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:11936","Dosage Working Group","","","","","",""
"FBN1","HGNC:3603","https://search.clinicalgenome.org/kb/genes/HGNC:3603","Marfan syndrome","MONDO:0007947","https://search.clinicalgenome.org/kb/conditions/MONDO:0007947","Autosomal dominant inheritance","3 - Sufficient Evidence for Haploinsufficiency (12/04/2019)","0 - No Evidence for Haploinsufficiency (12/04/2019)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3603","Dosage Working Group","definitive evidence (03/04/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d3fc0bea-4d6e-449e-885c-b204e6a0b2bf-2019-03-04T170000.000Z","General Gene Curation","Definitive Actionability (03/01/2019) | Definitive Actionability (03/01/2019)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC100 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC100","Adult Actionability Working Group | Pediatric Actionability Working Group"
"FBN1","HGNC:3603","https://search.clinicalgenome.org/kb/genes/HGNC:3603","familial thoracic aortic aneurysm and aortic dissection","MONDO:0019625","https://search.clinicalgenome.org/kb/conditions/MONDO:0019625","Autosomal dominant inheritance","3 - Sufficient Evidence for Haploinsufficiency (12/04/2019)","0 - No Evidence for Haploinsufficiency (12/04/2019)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3603","Dosage Working Group","definitive evidence (01/23/2017)","https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8251","Heritable Thoracic Aortic Aneurysm and Dissection","Strong Actionability (03/01/2019) | Strong Actionability (03/01/2019)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC134 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC134","Adult Actionability Working Group | Pediatric Actionability Working Group"
"FBN2","HGNC:3604","https://search.clinicalgenome.org/kb/genes/HGNC:3604","familial thoracic aortic aneurysm and aortic dissection","MONDO:0019625","https://search.clinicalgenome.org/kb/conditions/MONDO:0019625","Autosomal dominant inheritance","","","","","limited evidence (12/22/2016)","https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8268","Heritable Thoracic Aortic Aneurysm and Dissection","","",""
"FBP1","HGNC:3606","https://search.clinicalgenome.org/kb/genes/HGNC:3606","fructose-1,6-bisphosphatase deficiency","MONDO:0009251","https://search.clinicalgenome.org/kb/conditions/MONDO:0009251","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Haploinsufficiency (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3606","Dosage Working Group","","","","","",""
"FBXL4","HGNC:13601","https://search.clinicalgenome.org/kb/genes/HGNC:13601","Leigh syndrome","MONDO:0009723","https://search.clinicalgenome.org/kb/conditions/MONDO:0009723","Autosomal recessive inheritance","","","","","definitive evidence (11/23/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fed67104-182c-48f2-85c0-ecb05cd6dd72-2020-11-23T193117.246Z","Mitochondrial Diseases","","",""
"FBXO7","HGNC:13586","https://search.clinicalgenome.org/kb/genes/HGNC:13586","parkinsonian-pyramidal syndrome","MONDO:0009830","https://search.clinicalgenome.org/kb/conditions/MONDO:0009830","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13586","Dosage Working Group","","","","","",""
"FBXW4","HGNC:10847","https://search.clinicalgenome.org/kb/genes/HGNC:10847","split hand-foot malformation 3","MONDO:0009525","https://search.clinicalgenome.org/kb/conditions/MONDO:0009525","N/A","0 - No Evidence for Haploinsufficiency (10/08/2014)","0 - No Evidence for Haploinsufficiency (10/08/2014)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:10847","Dosage Working Group","","","","","",""
"FERMT3","HGNC:23151","https://search.clinicalgenome.org/kb/genes/HGNC:23151","leukocyte adhesion deficiency 3","MONDO:0013016","https://search.clinicalgenome.org/kb/conditions/MONDO:0013016","Autosomal recessive inheritance","","","","","definitive evidence (08/28/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_df792161-5efb-45f7-91ed-5fe76045fa06-2019-08-28T160000.000Z","Hemostasis Thrombosis","","",""
"FGA","HGNC:3661","https://search.clinicalgenome.org/kb/genes/HGNC:3661","congenital fibrinogen deficiency","MONDO:0018060","https://search.clinicalgenome.org/kb/conditions/MONDO:0018060","Semidominant inheritance","","","","","definitive evidence (01/22/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d34ded98-dbf7-4dc7-bea4-803db1857bf8-2020-01-22T170000.000Z","Hemostasis Thrombosis","","",""
"FGB","HGNC:3662","https://search.clinicalgenome.org/kb/genes/HGNC:3662","congenital fibrinogen deficiency","MONDO:0018060","https://search.clinicalgenome.org/kb/conditions/MONDO:0018060","Semidominant inheritance","","","","","definitive evidence (01/22/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_638c1588-9674-4bc3-a39c-2fc8f8b0ef09-2020-01-22T170000.000Z","Hemostasis Thrombosis","","",""
"FGD1","HGNC:3663","https://search.clinicalgenome.org/kb/genes/HGNC:3663","Aarskog-Scott syndrome, X-linked","MONDO:0010589","https://search.clinicalgenome.org/kb/conditions/MONDO:0010589","X-linked inheritance","3 - Sufficient Evidence for Haploinsufficiency (05/26/2021)","0 - No Evidence for Haploinsufficiency (05/26/2021)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3663","Dosage Working Group","definitive evidence (12/06/2017)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_4b652280-1291-4166-ac59-62caabd977bb-2017-12-06T170000.000Z","Intellectual Disability and Autism","","",""
"FGD4","HGNC:19125","https://search.clinicalgenome.org/kb/genes/HGNC:19125","Charcot-Marie-Tooth disease","MONDO:0015626","https://search.clinicalgenome.org/kb/conditions/MONDO:0015626","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Haploinsufficiency (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:19125","Dosage Working Group","definitive evidence (04/14/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e0aae8cd-9d57-4d8c-83ae-ed968cf186bc-2020-04-14T131822.010Z","Charcot-Marie-Tooth","","",""
"FGD4","HGNC:19125","https://search.clinicalgenome.org/kb/genes/HGNC:19125","Charcot-Marie-Tooth disease type 4H","MONDO:0012250","https://search.clinicalgenome.org/kb/conditions/MONDO:0012250","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Haploinsufficiency (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:19125","Dosage Working Group","","","","","",""
"FGF10","HGNC:3666","https://search.clinicalgenome.org/kb/genes/HGNC:3666","LADD syndrome","MONDO:0007872","https://search.clinicalgenome.org/kb/conditions/MONDO:0007872","N/A","3 - Sufficient Evidence for Haploinsufficiency (02/23/2022)","0 - No Evidence for Haploinsufficiency (02/23/2022)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3666","Dosage Working Group","","","","","",""
"FGF12","HGNC:3668","https://search.clinicalgenome.org/kb/genes/HGNC:3668","developmental and epileptic encephalopathy","MONDO:0100062","https://search.clinicalgenome.org/kb/conditions/MONDO:0100062","N/A","0 - No Evidence for Haploinsufficiency (12/01/2021)","1 - Little Evidence for Haploinsufficiency (12/01/2021)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3668","Dosage Working Group","","","","","",""
"FGF23","HGNC:3680","https://search.clinicalgenome.org/kb/genes/HGNC:3680","autosomal dominant hypophosphatemic rickets","MONDO:0008660","https://search.clinicalgenome.org/kb/conditions/MONDO:0008660","N/A","","","","","","","","Has Insufficient Evidence for Actionability Based on Early Rule-out (11/18/2021) | Limited Actionability (07/11/2018)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC010 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC010","Adult Actionability Working Group | Pediatric Actionability Working Group"
"FGF3","HGNC:3681","https://search.clinicalgenome.org/kb/genes/HGNC:3681","deafness with labyrinthine aplasia, microtia, and microdontia","MONDO:0012541","https://search.clinicalgenome.org/kb/conditions/MONDO:0012541","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3681","Dosage Working Group","definitive evidence (05/21/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5ca11e8c-6703-4be5-a8c2-82e6dcc865e4-2019-05-21T160000.000Z","Hearing Loss","","",""
"FGFR1","HGNC:3688","https://search.clinicalgenome.org/kb/genes/HGNC:3688","Hartsfield-Bixler-Demyer syndrome","MONDO:0014196","https://search.clinicalgenome.org/kb/conditions/MONDO:0014196","Autosomal dominant inheritance","3 - Sufficient Evidence for Haploinsufficiency (04/05/2021)","0 - No Evidence for Haploinsufficiency (04/05/2021)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3688","Dosage Working Group","moderate evidence (03/16/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ec5034c6-70cb-4ba3-bbb9-f65f6cad393d-2021-03-16T235509.401Z","Craniofacial Malformations","","",""
"FGFR1","HGNC:3688","https://search.clinicalgenome.org/kb/genes/HGNC:3688","osteoglophonic dwarfism","MONDO:0008150","https://search.clinicalgenome.org/kb/conditions/MONDO:0008150","Autosomal dominant inheritance","3 - Sufficient Evidence for Haploinsufficiency (04/05/2021)","0 - No Evidence for Haploinsufficiency (04/05/2021)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3688","Dosage Working Group","limited evidence (03/22/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d958e743-2ca0-4bb9-a198-364dd58005c3-2021-03-22T203501.315Z","Craniofacial Malformations","","",""
"FGFR1","HGNC:3688","https://search.clinicalgenome.org/kb/genes/HGNC:3688","Pfeiffer syndrome type 1","MONDO:0019659","https://search.clinicalgenome.org/kb/conditions/MONDO:0019659","Autosomal dominant inheritance","3 - Sufficient Evidence for Haploinsufficiency (04/05/2021)","0 - No Evidence for Haploinsufficiency (04/05/2021)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3688","Dosage Working Group","definitive evidence (05/21/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_4fef65d0-f73c-45fe-968e-86073674cb7e-2021-05-21T224433.397Z","Craniofacial Malformations","","",""
"FGFR1","HGNC:3688","https://search.clinicalgenome.org/kb/genes/HGNC:3688","hypogonadotropic hypogonadism 2 with or without anosmia","MONDO:0007844","https://search.clinicalgenome.org/kb/conditions/MONDO:0007844","N/A","3 - Sufficient Evidence for Haploinsufficiency (04/05/2021)","0 - No Evidence for Haploinsufficiency (04/05/2021)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3688","Dosage Working Group","","","","","",""
"FGFR2","HGNC:3689","https://search.clinicalgenome.org/kb/genes/HGNC:3689","apert syndrome","MONDO:0007041","https://search.clinicalgenome.org/kb/conditions/MONDO:0007041","Autosomal dominant inheritance","","","","","definitive evidence (12/14/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2aa63602-d820-4fee-893b-b807e7b62f28-2021-12-14T221137.192Z","Craniofacial Malformations","","",""
"FGFR2","HGNC:3689","https://search.clinicalgenome.org/kb/genes/HGNC:3689","Crouzon syndrome","MONDO:0007405","https://search.clinicalgenome.org/kb/conditions/MONDO:0007405","Autosomal dominant inheritance","","","","","definitive evidence (12/23/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c2cfa70a-750f-4357-98b9-f5c30ca4dc26-2021-12-23T165345.170Z","Craniofacial Malformations","","",""
"FGFR2","HGNC:3689","https://search.clinicalgenome.org/kb/genes/HGNC:3689","Pfeiffer syndrome","MONDO:0007043","https://search.clinicalgenome.org/kb/conditions/MONDO:0007043","Autosomal dominant inheritance","","","","","definitive evidence (03/21/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_eccfe56b-15d7-4ba9-abf2-163dfd3dab3c-2022-03-21T210958.425Z","Craniofacial Malformations","","",""
"FGFR2","HGNC:3689","https://search.clinicalgenome.org/kb/genes/HGNC:3689","Beare-Stevenson cutis gyrata syndrome","MONDO:0007412","https://search.clinicalgenome.org/kb/conditions/MONDO:0007412","Autosomal dominant inheritance","","","","","definitive evidence (03/31/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7805e806-44ee-4339-a078-d62c204bff00-2022-03-31T163711.748Z","Craniofacial Malformations","","",""
"FGFR3","HGNC:3690","https://search.clinicalgenome.org/kb/genes/HGNC:3690","achondroplasia","MONDO:0007037","https://search.clinicalgenome.org/kb/conditions/MONDO:0007037","Autosomal dominant inheritance","0 - No Evidence for Haploinsufficiency (11/09/2011)","0 - No Evidence for Haploinsufficiency (11/09/2011)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3690","Dosage Working Group","definitive evidence (12/01/2016)","https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_3221","General Gene Curation","Has Insufficient Evidence for Actionability Based on Early Rule-out (01/30/2020) | Has Insufficient Evidence for Actionability Based on Early Rule-out (01/30/2020)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1005 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1005","Adult Actionability Working Group | Pediatric Actionability Working Group"
"FGFR3","HGNC:3690","https://search.clinicalgenome.org/kb/genes/HGNC:3690","thanatophoric dysplasia type 1","MONDO:0008546","https://search.clinicalgenome.org/kb/conditions/MONDO:0008546","Autosomal dominant inheritance","0 - No Evidence for Haploinsufficiency (11/09/2011)","0 - No Evidence for Haploinsufficiency (11/09/2011)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3690","Dosage Working Group","definitive evidence (12/23/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_db0459d9-c5cc-455d-a6b2-e6ea81511336-2021-12-23T221850.458Z","Skeletal Disorders","","",""
"FGFR3","HGNC:3690","https://search.clinicalgenome.org/kb/genes/HGNC:3690","thanatophoric dysplasia type 2","MONDO:0008547","https://search.clinicalgenome.org/kb/conditions/MONDO:0008547","Autosomal dominant inheritance","0 - No Evidence for Haploinsufficiency (11/09/2011)","0 - No Evidence for Haploinsufficiency (11/09/2011)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3690","Dosage Working Group","definitive evidence (01/31/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1d5f870f-048e-4741-b5e0-2fcf70ed1b88-2022-01-31T170913.018Z","Skeletal Disorders","","",""
"FGFR3","HGNC:3690","https://search.clinicalgenome.org/kb/genes/HGNC:3690","Muenke syndrome","MONDO:0011274","https://search.clinicalgenome.org/kb/conditions/MONDO:0011274","Autosomal dominant inheritance","0 - No Evidence for Haploinsufficiency (11/09/2011)","0 - No Evidence for Haploinsufficiency (11/09/2011)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3690","Dosage Working Group","definitive evidence (03/29/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e94c1870-5413-4f75-8925-8bea54199d47-2022-03-29T172023.530Z","Craniofacial Malformations","","",""
"FGFR3","HGNC:3690","https://search.clinicalgenome.org/kb/genes/HGNC:3690","Crouzon syndrome-acanthosis nigricans syndrome","MONDO:0012833","https://search.clinicalgenome.org/kb/conditions/MONDO:0012833","Autosomal dominant inheritance","0 - No Evidence for Haploinsufficiency (11/09/2011)","0 - No Evidence for Haploinsufficiency (11/09/2011)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3690","Dosage Working Group","definitive evidence (11/18/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_98727c21-26dd-4e65-b75e-8ec82d95ba97-2021-11-18T170000.000Z","Craniofacial Malformations","","",""
"FGFR3","HGNC:3690","https://search.clinicalgenome.org/kb/genes/HGNC:3690","camptodactyly-tall stature-scoliosis-hearing loss syndrome","MONDO:0012504","https://search.clinicalgenome.org/kb/conditions/MONDO:0012504","Semidominant inheritance","0 - No Evidence for Haploinsufficiency (11/09/2011)","0 - No Evidence for Haploinsufficiency (11/09/2011)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3690","Dosage Working Group","moderate evidence (06/07/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_90130560-3e24-46a9-beaa-c67792773d3d-2022-06-07T160000.000Z","Skeletal Disorders","","",""
"FGFR3","HGNC:3690","https://search.clinicalgenome.org/kb/genes/HGNC:3690","severe achondroplasia-developmental delay-acanthosis nigricans syndrome","MONDO:0014658","https://search.clinicalgenome.org/kb/conditions/MONDO:0014658","Autosomal dominant inheritance","0 - No Evidence for Haploinsufficiency (11/09/2011)","0 - No Evidence for Haploinsufficiency (11/09/2011)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3690","Dosage Working Group","moderate evidence (05/09/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a7daa910-8226-46cc-8a65-034c0833d9cc-2022-05-09T160000.000Z","Skeletal Disorders","","",""
"FGG","HGNC:3694","https://search.clinicalgenome.org/kb/genes/HGNC:3694","congenital fibrinogen deficiency","MONDO:0018060","https://search.clinicalgenome.org/kb/conditions/MONDO:0018060","Semidominant inheritance","","","","","definitive evidence (01/23/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9ef37f0f-a5ae-402c-b319-7f7d731ecbb1-2020-01-23T173301.596Z","Hemostasis Thrombosis","","",""
"FH","HGNC:3700","https://search.clinicalgenome.org/kb/genes/HGNC:3700","hereditary leiomyomatosis and renal cell cancer","MONDO:0007888","https://search.clinicalgenome.org/kb/conditions/MONDO:0007888","Autosomal dominant inheritance","3 - Sufficient Evidence for Haploinsufficiency (07/06/2020)","0 - No Evidence for Haploinsufficiency (07/06/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3700","Dosage Working Group","definitive evidence (05/14/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_59e42ccd-2b0b-441c-8529-6eb1e9dde330-2020-05-14T002334.007Z","Hereditary Cancer","Assertion Pending (09/15/2015)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC061","Adult Actionability Working Group"
"FHL1","HGNC:3702","https://search.clinicalgenome.org/kb/genes/HGNC:3702","Emery-Dreifuss muscular dystrophy","MONDO:0016830","https://search.clinicalgenome.org/kb/conditions/MONDO:0016830","N/A","","","","","","","","Limited Actionability (07/13/2017)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC143","Adult Actionability Working Group"
"FHL1","HGNC:3702","https://search.clinicalgenome.org/kb/genes/HGNC:3702","X-linked myopathy with postural muscle atrophy","MONDO:0010401","https://search.clinicalgenome.org/kb/conditions/MONDO:0010401","N/A","","","","","","","","Limited Actionability (07/13/2017)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC143","Adult Actionability Working Group"
"FIG4","HGNC:16873","https://search.clinicalgenome.org/kb/genes/HGNC:16873","Charcot-Marie-Tooth disease","MONDO:0015626","https://search.clinicalgenome.org/kb/conditions/MONDO:0015626","Autosomal recessive inheritance","","","","","definitive evidence (09/23/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cbc44812-5fe4-4e11-ac89-58e4175d4463-2021-09-23T003544.594Z","Charcot-Marie-Tooth","","",""
"FIG4","HGNC:16873","https://search.clinicalgenome.org/kb/genes/HGNC:16873","amyotrophic lateral sclerosis type 11","MONDO:0012945","https://search.clinicalgenome.org/kb/conditions/MONDO:0012945","Autosomal dominant inheritance","","","","","limited evidence (08/09/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d038fb84-1f98-4047-b6c5-039a53756775-2022-08-09T160000.000Z","Amyotrophic Lateral Sclerosis Spectrum Disorders","","",""
"FKBP14","HGNC:18625","https://search.clinicalgenome.org/kb/genes/HGNC:18625","Ehlers-Danlos syndrome, kyphoscoliotic and deafness type","MONDO:0013800","https://search.clinicalgenome.org/kb/conditions/MONDO:0013800","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Haploinsufficiency (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18625","Dosage Working Group","","","","","",""
